"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Minimax strategies for training classifiers under unknown priors","R. Alaiz-Rodriguez; J. Cid-Sueiro","Dpto. Ingenieria Electrica y Electronica, Univ. de Leon, Mexico; NA","Proceedings of the 12th IEEE Workshop on Neural Networks for Signal Processing","7 Nov 2002","2002","","","249","258","Most supervised learning algorithms are based on the assumption that the training data set reflects the underlying statistical model of the real data. However, this stationarity assumption is not always satisfied in practice: quite frequently, class prior probabilities are not in accordance with the class proportions in the training data set. The minimax approach is based on selecting the classifier that minimize the error probability under the worst case conditions. We propose a two-step learning algorithm to train a neural network in order to estimate the minimax classifier that is robust to changes in the class priors. During the first step, posterior probabilities based on training data priors are estimated. During the second step, class priors are modified in order to minimize a cost function that is asymptotically equivalent to the worst-case error rate. This procedure is illustrated on a softmax-based neural network. Several experimental results show the advantages of the proposed method with respect to other approaches.","","0-7803-7616-1","10.1109/NNSP.2002.1030036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1030036","","Minimax techniques;Neural networks;Training data;Error analysis;Robustness;Supervised learning;Error probability;Cost function;Proposals","learning (artificial intelligence);probability;minimax techniques;signal classification","minimax strategies;classifiers training;generalized softmax perceptron;information filtering;supervised learning algorithms;training data set;statistical model;stationarity assumption;class prior probabilities;error probability minimization;worst case conditions;two-step learning algorithm;neural network training;data priors training;class priors;cost function minimization;posterior probabilities;worst-case error rate;softmax-based neural network","","","","10","","7 Nov 2002","","","IEEE","IEEE Conferences"
"The SMART Framework: Selection of Machine Learning Algorithms With ReplicaTions—A Case Study on the Microvascular Complications of Diabetes","B. P. Swan; M. E. Mayorga; J. S. Ivy","Department of Industrial and Systems Engineering, North Carolina State University, Raleigh, NC, USA; Department of Industrial and Systems Engineering, North Carolina State University, Raleigh, NC, USA; Department of Industrial and Systems Engineering, North Carolina State University, Raleigh, NC, USA","IEEE Journal of Biomedical and Health Informatics","4 Feb 2022","2022","26","2","809","817","Over 34 million people in the US have diabetes, a major cause of blindness, renal failure, and amputations. Machine learning (ML) models can predict high-risk patients to help prevent adverse outcomes. Selecting the ‘best’ prediction model for a given disease, population, and clinical application is challenging due to the hundreds of health-related ML models in the literature and the increasing availability of ML methodologies. To support this decision process, we developed the Selection of Machine-learning Algorithms with ReplicaTions (SMART) Framework that integrates building and selecting ML models with decision theory. We build ML models and estimate performance for multiple plausible future populations with a replicated nested cross-validation technique. We rank ML models by simulating decision-maker priorities, using a range of accuracy measures (e.g., AUC) and robustness metrics from decision theory (e.g., minimax Regret). We present the SMART Framework through a case study on the microvascular complications of diabetes using data from the ACCORD clinical trial. We compare selections made by risk-averse, -neutral, and -seeking decision-makers, finding agreement in 80% of the risk-averse and risk-neutral selections, with the risk-averse selections showing consistency for a given complication. We also found that the models that best predicted outcomes in the validation set were those with low performance variance on the testing set, indicating a risk-averse approach in model selection is ideal when there is a potential for high population feature variability. The SMART Framework is a powerful, interactive tool that incorporates various ML algorithms and stakeholder preferences, generalizable to new data and technological advancements.","2168-2208","","10.1109/JBHI.2021.3094777","NHLBI Biologic Specimen; Data Repository Information Coordinating Center; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477105","Data-driven modeling;decision theory;diabetes;machine learning","Predictive models;Statistics;Sociology;Measurement;Data models;Robustness;Diabetes","","","Algorithms;Diabetes Complications;Diabetes Mellitus;Humans;Machine Learning","","","47","IEEE","7 Jul 2021","","","IEEE","IEEE Journals"
"Reusing Genetic Programming for Ensemble Selection in Classification of Unbalanced Data","U. Bhowan; M. Johnston; M. Zhang; X. Yao","Knowledge and Data Engineering Group, School of Statistics and Computer Science, Trinity College, Dublin, Ireland; Evolutionary Computation Research Group, University of Wellington, Victoria, Wellington, New Zealand; Evolutionary Computation Research Group, University of Wellington, Victoria, Wellington, New Zealand; School of Computer Science, The University of Birmingham, Birmingham, West Midlands, U.K.","IEEE Transactions on Evolutionary Computation","25 Nov 2014","2014","18","6","893","908","Classification algorithms can suffer from performance degradation when the class distribution is unbalanced. This paper develops a two-step approach to evolving ensembles using genetic programming (GP) for unbalanced data. The first step uses multiobjective (MO) GP to evolve a Pareto-approximated front of GP classifiers to form the ensemble by trading-off the minority and the majority class against each other during learning. The MO component alleviates the reliance on sampling to artificially rebalance the data. The second step, which is the focus this paper, proposes a novel ensemble selection approach using GP to automatically find/choose the best individuals for the ensemble. This new GP approach combines multiple Pareto-approximated front members into a single composite genetic program solution to represent the (optimized) ensemble. This ensemble representation has two main advantages/novelties over traditional genetic algorithm (GA) approaches. First, by limiting the depth of the composite solution trees, we use selection pressure during evolution to find small highly-cooperative groups of individuals for the ensemble. This means that ensemble sizes are not fixed a priori (as in GA), but vary depending on the strength of the base learners. Second, we compare different function set operators in the composite solution trees to explore new ways to aggregate the member outputs and thus, control how the ensemble computes its output. We show that the proposed GP approach evolves smaller more diverse ensembles compared to an established ensemble selection algorithm, while still performing as well as, or better than the established approach. The evolved GP ensembles also perform well compared to other bagging and boosting approaches, particularly on tasks with high levels of class imbalance.","1941-0026","","10.1109/TEVC.2013.2293393","Marsden Fund of the New Zealand Government(grant numbers:VUW0806); Royal Society of New Zealand; NSFC(grant numbers:61329302); European Union Seventh Framework Programme(grant numbers:270428); Royal Society Wolfson Research Merit Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6677603","Classification;ensemble machine learning;genetic programming;unbalanced data","Sociology;Statistics;Training;Accuracy;Genetic algorithms;Silicon;Bagging","approximation theory;genetic algorithms;learning (artificial intelligence);Pareto optimisation;pattern classification;trees (mathematics)","genetic programming;ensemble selection approach;unbalanced data classification;Pareto-approximated front;GP classifiers;learning;single composite genetic program solution;composite solution trees;bagging approach;boosting approach","","57","","56","IEEE","28 Nov 2013","","","IEEE","IEEE Journals"
"Advanced Design Optimization Technique for Torque Profile Improvement in Six-Phase PMSM Using Supervised Machine Learning for Direct-Drive EV","H. Dhulipati; E. Ghosh; S. Mukundan; P. Korta; J. Tjong; N. C. Kar","Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada","IEEE Transactions on Energy Conversion","22 Nov 2019","2019","34","4","2041","2051","Few of the challenges with development of a single on-board motor for direct-drive electric vehicles include high torque density and low torque ripple. Therefore, in this paper, a 36-slot, 34-pole consequent pole six-phase permanent magnet synchronous machine (PMSM) has been optimized to address the aforementioned challenges for direct-drive application. Existing literature on optimization processes that rely solely on finite element models are restricted to three-phase machines only and also take longer computation time. Therefore, this paper proposes a novel optimization approach based on supervised machine learning for six-phase PMSM. In this approach, a non-conventional extended dual dq-frame model that accounts for higher order space harmonics in inductances and flux linkages has been developed and used for accurate computation of average torque and torque ripple of six-phase PMSM. Using the performance characteristics obtained from the extended dual dq-frame model for a set of initial design candidates, support vector regression algorithm is employed for supervised machine learning and increasing solutions in the design space. Furthermore, pareto front is used for selecting optimal machine models with maximum torque density and reduced torque ripple. Multi-objective trade-offs and comparison of initial and optimized designs based on average torque, torque ripple, efficiency and cost are performed.","1558-0059","","10.1109/TEC.2019.2933619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789459","Direct–drive;  $dq$  –frame model;electric vehicle;machine learning;permanent magnet synchronous machine;support vector regression;time–step finite element analysis","Torque;Optimization;Computational modeling;Harmonic analysis;Torque measurement;Couplings;Permanent magnet motors","electric vehicles;finite element analysis;machine control;optimisation;permanent magnet motors;regression analysis;support vector machines;synchronous motors;torque;torque control","advanced design optimization technique;torque profile improvement;six-phase PMSM;supervised machine learning;high torque density;low torque ripple;permanent magnet synchronous machine;direct-drive application;optimization processes;finite element models;three-phase machines;average torque;initial design candidates;design space;optimal machine models;maximum torque density;initial designs;nonconventional extended dual dq-frame model;direct-drive electric vehicles","","20","","41","IEEE","6 Aug 2019","","","IEEE","IEEE Journals"
"Wind Turbine Fault Diagnosis and Predictive Maintenance Through Statistical Process Control and Machine Learning","J. -Y. Hsu; Y. -F. Wang; K. -C. Lin; M. -Y. Chen; J. H. -Y. Hsu","Department of Management Information Systems, National Chung Hsing University, Taichung City, Taiwan; Department of Management Information Systems, National Chung Hsing University, Taichung City, Taiwan; Department of Management Information Systems, National Chung Hsing University, Taichung City, Taiwan; Department of Information Management, National Taichung University of Science and Technology, Taichung City, Taiwan; Independent Researcher, San Francisco, CA, USA","IEEE Access","5 Feb 2020","2020","8","","23427","23439","This study applies statistical process control and machine learning techniques to diagnose wind turbine faults and predict maintenance needs by analyzing 2.8 million sensor data collected from 31 wind turbines from 2015 to 2017 in Taiwan. Unlike previous studies that only relied on historical wind turbine data, this study analyzed the sensor data with practitioners' insight by incorporating maintenance check list items into the data mining processes. We used Pareto analyses, scatter plots, and the cause and effect diagram to cluster and classify the failure types of wind turbines. In addition, control charts were used to establish a monitoring mechanism to track whether operation data are deviated from the controls (i.e., standard deviations) as a mean to detect wind turbine abnormalities. While statistical process control was applied to fault diagnosis, machine learning algorithms were used to predict maintenance needs of wind turbines. First, the density-based spatial clustering of applications with noise algorithm was used to classify abnormal-state wind turbine data from normal-state data. Then, random forest and decision tree algorithms were employed to construct the predictive models for wind turbine anomalies and tested with K-fold cross-validation. The results indicate a high level of accuracy: 92.68% for the decision tree model, and 91.98% for the random forest model. The study demonstrates that, by data mining and modeling, the failures of wind turbines can be detected, and the maintenance needs of parts can be predicted. Model results may provide technicians early warnings, improve equipment efficient, and decrease system downtime of wind turbine operation.","2169-3536","","10.1109/ACCESS.2020.2968615","Ministry of Science and Technology, Taiwan(grant numbers:106-2420-H-005-003); Ministry of Science and Technology, Taiwan(grant numbers:108-3116-F-005-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8966331","Decision trees;fault diagnosis;machine learning;predictive maintenance;random forest;statistical process control;wind energy","Wind turbines;Fault diagnosis;Monitoring;Process control;Neural networks;Predictive maintenance","condition monitoring;control charts;data mining;decision trees;fault diagnosis;learning (artificial intelligence);maintenance engineering;pattern classification;power engineering computing;power system faults;statistical analysis;statistical process control;wind turbines","cause and effect diagram;scatter plots;Pareto analyses;density-based spatial clustering;K-fold cross-validation;maintenance check list items;wind turbine anomalies;machine learning algorithms;wind turbine abnormalities;data mining processes;historical wind turbine data;wind turbine faults;statistical process control;predictive maintenance;wind turbine fault diagnosis;wind turbine operation","","24","","15","CCBY","22 Jan 2020","","","IEEE","IEEE Journals"
"Multilevel Sensor Fusion With Deep Learning","V. Vielzeuf; A. Lechervy; S. Pateux; F. Jurie","Orange Labs, Rennes, Cesson-Sevigne, France; Normandie Université, UNICAEN, ENSICAEN, CNRS, Caen, France; Orange Labs, Rennes, Cesson-Sevigne, France; Normandie Université, UNICAEN, ENSICAEN, CNRS, Caen, France","IEEE Sensors Letters","15 Jan 2019","2019","3","1","1","4","In the context of deep learning, this article presents an original deep network, namely CentralNet, for the fusion of information coming from different sensors. This approach is designed to efficiently and automatically balance the tradeoff between early and late fusion (i.e., between the fusion of low-level versus high-level information). More specifically, at each level of abstraction—the different levels of deep networks—unimodal representations of the data are fed to a central neural network which combines them into a common embedding. In addition, a multiobjective regularization is also introduced, helping to both optimize the central network and the unimodal networks. Experiments on four multimodal datasets not only show the state-of-the-art performance but also demonstrate that CentralNet can actually choose the best possible fusion strategy for a given problem.","2475-1472","","10.1109/LSENS.2018.2878908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516399","Sensor data fusion;multimodal fusion;neural networks","Neural networks;Task analysis;Sensor fusion;Videos;Visualization","","","","8","","23","IEEE","31 Oct 2018","","","IEEE","IEEE Journals"
"Pareto-Optimal Model Selection via SPRINT-Race","T. Zhang; M. Georgiopoulos; G. C. Anagnostopoulos","Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering, Florida Institute of Technology, Melbourne, FL, USA","IEEE Transactions on Cybernetics","4 Jan 2018","2018","48","2","596","610","In machine learning, the notion of multi-objective model selection (MOMS) refers to the problem of identifying the set of Pareto-optimal models that optimize by compromising more than one predefined objectives simultaneously. This paper introduces SPRINT-Race, the first multi-objective racing algorithm in a fixed-confidence setting, which is based on the sequential probability ratio with indifference zone test. SPRINT-Race addresses the problem of MOMS with multiple stochastic optimization objectives in the proper Pareto-optimality sense. In SPRINT-Race, a pairwise dominance or non-dominance relationship is statistically inferred via a non-parametric, ternary-decision, dual-sequential probability ratio test. The overall probability of falsely eliminating any Pareto-optimal models or mistakenly returning any clearly dominated models is strictly controlled by a sequential Holm's step-down family-wise error rate control method. As a fixed-confidence model selection algorithm, the objective of SPRINT-Race is to minimize the computational effort required to achieve a prescribed confidence level about the quality of the returned models. The performance of SPRINT-Race is first examined via an artificially constructed MOMS problem with known ground truth. Subsequently, SPRINT-Race is applied on two real-world applications: 1) hybrid recommender system design and 2) multi-criteria stock selection. The experimental results verify that SPRINT-Race is an effective and efficient tool for such MOMS problems.<sup>11</sup>MATLAB code of SPRINT-Race is available at https://github.com/watera427/SPRINT-Race.","2168-2275","","10.1109/TCYB.2017.2647821","National Science Foundation (NSF)(grant numbers:1200566,0525429); NSF(grant numbers:1200566,1161228,1356233,1643835); NSF(grant numbers:1263011,1560345); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836308","Model selection (MS);multi-objective optimization;racing algorithm;sequential probability ratio test (SPRT)","Method of moments;Computational modeling;Optimization;Adaptation models;Complexity theory;Probability;US Government","decision making;estimation theory;evolutionary computation;learning (artificial intelligence);Pareto optimisation;probability;stochastic processes","SPRINT-Race;multiple stochastic optimization objectives;multiobjective racing algorithm;multiobjective model selection;Pareto-optimal model selection;fixed-confidence model selection algorithm","","3","","55","IEEE","30 Jan 2017","","","IEEE","IEEE Journals"
"Design of Artificial Neural Networks Using a Memetic Pareto Evolutionary Algorithm Using as Objectives Entropy versus Variation Coefficient","J. C. Fernández; C. Hervás; F. J. Martínez; M. Cruz","Dept. of Comput. Sci., Univ. of Cordoba, Cordoba, Spain; Dept. of Comput. Sci., Univ. of Cordoba, Cordoba, Spain; Dept. of Manage. & Quantitative Methods, ETEA, Cordoba, Spain; Dept. of Comput. Sci., Univ. of Cordoba, Cordoba, Spain","2009 Ninth International Conference on Intelligent Systems Design and Applications","28 Dec 2009","2009","","","408","413","This paper proposes a multi-classification pattern algorithm using multilayer perceptron neural network models which try to boost two conflicting main objectives of a classifier, a high correct classification rate and a high classification rate for each class. To solve this machine learning problem, we consider a Memetic Pareto Evolutionary approach based on the NSGA2 algorithm (MPENSGA2), where we defined two objectives for determining the goodness of a classifier: the cross-entropy error function and the variation coefficient of its sensitivities, because both measures are continuous functions, making the convergence more robust. Once the Pareto front is built, we use an automatic selection methodology of individuals: the best model in accuracy (upper extreme in the Pareto front). This methodology is applied to solve six benchmark classification problems, obtaining promising results and achieving a high classification rate in the generalization set with an acceptable level of accuracy for each class.","2164-7151","978-1-4244-4735-0","10.1109/ISDA.2009.153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364897","Classification;Neural Networks;Multi-objective;Entropy;Variation Coefficient","Algorithm design and analysis;Artificial neural networks;Evolutionary computation;Entropy;Machine learning algorithms;Multilayer perceptrons;Neural networks;Multi-layer neural network;Machine learning;Convergence","entropy;evolutionary computation;generalisation (artificial intelligence);learning (artificial intelligence);multilayer perceptrons;Pareto optimisation;pattern classification","artificial neural networks;memetic Pareto evolutionary algorithm;objectives entropy;variation coefficient;multiclassification pattern algorithm;multilayer perceptron neural network models;machine learning problem;memetic Pareto evolutionary approach;NSGA2 algorithm;cross-entropy error function;Pareto front;automatic selection methodology;benchmark classification problems;generalization set","","","","20","","28 Dec 2009","","","IEEE","IEEE Conferences"
"A Fast Design Space Exploration Framework for the Deep Learning Accelerators: Work-in-Progress","A. Colucci; A. Marchisio; B. Bussolino; V. Mrazek; M. Martina; G. Masera; M. Shafique","Technische Universität Wien,Vienna,Austria; Technische Universität Wien,Vienna,Austria; Politecnico di Torino,Turin,Italy; Faculty of Information Technology, IT4Innovations Centre of Excellence, Brno University of Technology,Czech Republic; Politecnico di Torino,Turin,Italy; Politecnico di Torino,Turin,Italy; Technische Universität Wien,Vienna,Austria","2020 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS)","9 Nov 2020","2020","","","34","36","The Capsule Networks (CapsNets) is an advanced form of Convolutional Neural Network (CNN), capable of learning spatial relations and being invariant to transformations. CapsNets requires complex matrix operations which current accelerators are not optimized for, concerning both <sub>training</sub> and <sub>inference</sub> passes. Current state-of-the-art simulators and design space exploration (DSE) tools for DNN hardware neglect the modeling of training operations, while requiring long exploration times that slow down the complete design flow. These impediments restrict the real-world applications of CapsNets (e.g., autonomous driving and robotics) as well as the further development of DNNs in life-long learning scenarios that require training on low-power embedded devices. Towards this, we present <sub>XploreDL</sub>, a novel framework to perform fast yet high-fidelity DSE for both inference and training accelerators, supporting both CNNs and CapsNets operations. <sub>XploreDL</sub> enables a resource-efficient DSE for accelerators, focusing on power, area, and latency, highlighting Pareto-optimal solutions which can be a green-lit to expedite the design flow. <sub>XploreDL</sub> can reach the same fidelity as ARM's SCALE-sim, while providing 600x speedup and having a 50x lower memory-footprint. Preliminary results with a deep CapsNet model on MNIST for training accelerators show promising Pareto-optimal architectures with up to 0.4 TOPS/squared-mm and 800 fJ/op efficiency. With inference accelerators for AlexNet the Pareto-optimal solutions reach up to 1.8 TOPS/squared-mm and 200 fJ/op efficiency.","","978-1-7281-9198-0","10.1109/CODESISSS51650.2020.9244038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244038","Design Space Exploration;Hardware Accelerator;Capsule Networks;Convolutional Neural Networks;Training","Training;Performance evaluation;Neural networks;Tools;Space exploration;Acceleration;Robots","convolutional neural nets;embedded systems;learning (artificial intelligence);microprocessor chips;multiprocessing systems;Pareto optimisation;power aware computing;system-on-chip","deep CapsNet model;Pareto-optimal architectures;inference accelerators;Pareto-optimal solutions;resource-efficient DSE;training accelerators;high-fidelity DSE;XploreDL;low-power embedded devices;life-long learning scenarios;real-world applications;complete design flow;long exploration times;training operations;DNN hardware neglect;design space exploration tools;state-of-the-art simulators;inference passes;current accelerators;complex matrix operations;spatial relations;convolutional neural network;advanced form;CapsNets;capsule networks;deep learning accelerators;fast design space exploration framework","","","","18","","9 Nov 2020","","","IEEE","IEEE Conferences"
"Learning-Enabled NoC Design for Heterogeneous Manycore Systems","R. G. Kim","Colorado State University,Department of Electrical and Computer Engineering,Fort Collins,CO,80524","2020 21st International Symposium on Quality Electronic Design (ISQED)","9 Jul 2020","2020","","","268","272","As systems grow in specialization (e.g., domain specific architectures), we need the tools to handle the growing design space from increased heterogeneity and system sizes. In this paper, we investigate the specific challenges posed by heterogeneous systems on the NoC in two separate contexts: wireless- and 3D-enabled, formulate each as a separate multiobjective optimization problem, and present a machine learning based design space exploration technique, MOO-STAGE, to intelligently explore this growing design space.","1948-3287","978-1-7281-4207-4","10.1109/ISQED48828.2020.9137000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9137000","NoC;Wireless NoC;3D NoC;Multi-objective optimization;Machine learning;CPU-GPU systems","Wireless communication;Design methodology;Computer architecture;Machine learning;Space exploration;Optimization","graphics processing units;learning (artificial intelligence);multiprocessing systems;network-on-chip;optimisation","learning-enabled NoC design;heterogeneous manycore systems;domain specific architectures;multiobjective optimization problem;machine learning based design space exploration technique;MOO-STAGE;CPU-GPU","","","","16","","9 Jul 2020","","","IEEE","IEEE Conferences"
"Computational Intelligence-Based Methodology for Antenna Development","M. C. D. Melo; P. B. Santos; E. Faustino; C. J. A. Bastos-Filho; A. Cerqueira Sodré","Laboratory WOCA, National Institute of Telecommunications (Inatel), Santa Rita do Sapucaí, Brazil; University of Pernambuco—(POLI-UPE), Recife, Brazil; University of Pernambuco—(POLI-UPE), Recife, Brazil; University of Pernambuco—(POLI-UPE), Recife, Brazil; Laboratory WOCA, National Institute of Telecommunications (Inatel), Santa Rita do Sapucaí, Brazil","IEEE Access","6 Jan 2022","2022","10","","1860","1870","The antenna design is a challenging task, which might be time-consuming using conventional computational methods that typically require high computational capability, due to the need for several sweeps and re-running processes. This work proposes an efficient and accurate computational intelligence-based methodology for the antenna design and optimization. The computational technical solution consists of a surrogate model application, composed of a Multilayer Perceptron (MLP) artificial neural network with backpropagation for the regression process. Combined with the surrogate model, two multiobjective optimization meta-heuristic strategies, Non-dominated Sorting Genetic Algorithm (NSGA-II) and Multiobjective Evolutionary Algorithm based on Decomposition (MOEA/D), are used to overcome the mentioned issues from the traditional antenna design method. A study of case considering a dipole antenna for the 3.5 GHz 5G band is reported, as proof of the proposed methodology concept. Comparisons of antenna impedance matching obtained by the proposed methodology, numerical full-wave results from ANSYS HFSS and experimental result from the antenna prototype are performed for demonstrating its applicability and effectiveness for antenna development.","2169-3536","","10.1109/ACCESS.2021.3137198","Pernambuco’s University [(Universidade de Pernambuco (UPE)], Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) coordination, and Rede Nacional de Ensino e Pesquisa (RNP), with resources from Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes (MCTIC), through the Radiocommunication Reference Center [Centro de Referencia em Radiocomunicacoes (CRR)] project of the National Institute of Telecommunications [Instituto Nacional de Telecomunicacoes (Inatel)], Brazil(grant numbers:01245.010604/2020-14); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9656850","Antennas design;computational intelligence;machine learning;multi-objective optimization","Optimization;Antennas;Computational modeling;Dipole antennas;Reflector antennas;Mathematical models;Training","backpropagation;dipole antennas;evolutionary computation;genetic algorithms;impedance matching;multilayer perceptrons;neural nets;optimisation;Pareto optimisation","antenna development;conventional computational methods;high computational capability;efficient intelligence-based methodology;accurate computational intelligence-based methodology;computational technical solution;surrogate model application;Multilayer Perceptron artificial neural network;regression process;multiobjective optimization meta-heuristic strategies;Nondominated Sorting Genetic Algorithm;Evolutionary Algorithm;traditional antenna design method;dipole antenna;methodology concept;antenna impedance;antenna prototype;frequency 3.5 GHz","","","","57","CCBY","21 Dec 2021","","","IEEE","IEEE Journals"
"Minimax Active Learning Via Minimal Model Capacity","S. Shayovitz; M. Feder","Tel Aviv University,School of Electrical Engineering; Tel Aviv University,School of Electrical Engineering","2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP)","5 Dec 2019","2019","","","1","6","Active learning is a form of machine learning which combines supervised learning and feedback to minimize the training set size, subject to low generalization errors. Since direct optimization of the generalization error is difficult, many heuristics have been developed which lack a firm theoretical foundation. In this paper, a new information theoretic criterion is proposed based on a minimax log-loss regret formulation of the active learning problem. In the first part of this paper, a Redundancy Capacity theorem for active learning is derived along with an optimal learner. Building on this, a new active learning criterion is proposed which naturally induces an exploration - exploitation trade-off in feature selection. In the second part, the linear separator hypotheses class with additive label noise is considered and a low complexity algorithm is proposed which optimizes the active learning criterion from the first part. This greedy algorithm is based on the Posterior Matching scheme for communication with feedback and is shown that for BSC and BEC label noise, the proposed information theoretic criterion decays at an exponential rate.","1551-2541","978-1-7281-0824-7","10.1109/MLSP.2019.8918907","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918907","Active Learning;Linear Separator;Posterior Matching","Particle separators;Uncertainty;Entropy;Training;Complexity theory;Mutual information;Feature extraction","computational complexity;greedy algorithms;learning (artificial intelligence);minimax techniques","minimax active learning;minimal model Capacity;machine learning;supervised learning;training set size;low generalization errors;direct optimization;generalization error;firm theoretical foundation;minimax log-loss regret formulation;active learning problem;active learning criterion;information theoretic criterion decays","","1","","14","","5 Dec 2019","","","IEEE","IEEE Conferences"
"Evolutionary Multi-objective Ensemble Learning for Multivariate Electricity Consumption Prediction","H. Song; A. K. Qin; F. D. Salim","Computer Science and Information Technology, School of Science, RMIT University, Melbourne, VIC, 3000, Australia; Computer Science and Software Engineering, School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, 3122, Australia; Computer Science and Information Technology, School of Science, RMIT University, Melbourne, VIC, 3000, Australia","2018 International Joint Conference on Neural Networks (IJCNN)","14 Oct 2018","2018","","","1","8","Energy consumption prediction typically corresponds to a multivariate time series prediction task where different channels in the multivariate time series represent energy consumption data and various auxiliary data related to energy consumption such as environmental factors. It is non-trivial to resolve this task, which requires finding the most appropriate prediction model and the most useful features (extracted from the raw data) to be used by the model. This work proposes an evolutionary multi-objective ensemble learning (EMOEL) technique which uses extreme learning machines (ELMs) as base predictors due to its highly recognized efficacy. EMOEL employs evolutionary multi-objective optimization to search for the optimal parameters of the model as well as the optimal features fed into the model subjected to two conflicting criteria, i.e., accuracy and diversity. It leads to a Pareto front composed of non-dominated optimal solutions where each solution depicts the number of hidden neurons in the ELM, the selected channels in the multivariate time series, the selected feature extraction methods and the selected time windows applied to the selected channels. The optimal solutions in the Pareto front stand for different end-to-end prediction models which may lead to different prediction results. To boost ultimate prediction accuracy, the models with respect to these optimal solutions are linearly combined with combination coefficients being optimized via an evolutionary algorithm. We evaluate the proposed method in comparison to some existing prediction techniques on an Australian University based dataset, which demonstrates the superiority of the proposed method.","2161-4407","978-1-5090-6014-6","10.1109/IJCNN.2018.8489261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489261","","Feature extraction;Predictive models;Time series analysis;Data models;Optimization;Discrete wavelet transforms;Task analysis","evolutionary computation;feature extraction;feedforward neural nets;Pareto optimisation;power consumption;power engineering computing;time series","extreme learning machines;EMOEL;evolutionary multiobjective optimization;optimal parameters;optimal features;nondominated optimal solutions;ultimate prediction accuracy;evolutionary algorithm;multivariate electricity consumption prediction;energy consumption prediction;multivariate time series prediction task;energy consumption data;environmental factors;evolutionary multiobjective ensemble learning technique;feature extraction methods;time windows;prediction techniques;end-to-end prediction models;Pareto front;hidden neurons","","2","","34","","14 Oct 2018","","","IEEE","IEEE Conferences"
