Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Publisher
"Li C., Singh V.P., Mishra A.K.","Simulation of the entire range of daily precipitation using a hybrid probability distribution",2012,"Water Resources Research",53,"10.1029/2011WR011446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859184993&doi=10.1029%2f2011WR011446&partnerID=40&md5=37776e9a3bd90c84b5a069a5e9c4bf0c","Underestimation of extreme values is a widely acknowledged issue in daily precipitation simulation. Nonparametric precipitation generators have inherent limitations in representing extremes. Parametric generators can realistically model the full spectrum of precipitation amount through compound distributions. Nevertheless, fitting these distributions suffers from numerical instability, supervised learning, and computational demand. This study presents an easy-to-implement hybrid probability distribution to model the full spectrum of precipitation amount. The basic idea for the hybrid distribution lies in synthesizing low to moderate precipitation by an exponential distribution and extreme precipitation by a generalized Pareto distribution. By forcing the two distributions to be continuous at the junction point, the threshold of the generalized Pareto distribution can be implicitly learned in an unsupervised manner. Monte Carlo simulation shows that the hybrid distribution is capable of modeling heavy tailed data. Performance of the distribution is further evaluated using 49 daily precipitation records across Texas. Results show that the model is able to capture both the bulk and the tail of daily precipitation amount. The maximum goodness-of-fit and penalized maximum likelihood methods are found to be reliable complements to the maximum likelihood method, in that generally they can provide adequate goodness-of-fit. The proposed distribution can be incorporated into precipitation generators and downscaling models in order to realistically simulate the entire range of precipitation without losing extreme values. Copyright 2012 by the American Geophysical Union.",,
"Zuluaga M., Krause A., Milder P., Püschel M.","Smart design space sampling to predict pareto-optimal solutions",2012,"ACM SIGPLAN Notices",15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866340251&partnerID=40&md5=74eca3d9685067e3b4aff73dc07d1c99","Many high-level synthesis tools offer degrees of freedom in mapping high-level specifications to Register-Transfer Level descriptions. These choices do not affect the functional behavior but span a design space of different cost-performance tradeoffs. In this paper we present a novel machine learning-based approach that efficiently determines the Pareto-optimal designs while only sampling and synthesizing a fraction of the design space. The approach combines three key components: (1) A regression model based on Gaussian processes to predict area and throughput based on synthesis training data. (2) A ""smart"" sampling strategy, GP-PUCB, to iteratively refine the model by carefully selecting the next design to synthesize to maximize progress. (3) A stopping criterion based on assessing the accuracy of the model without access to complete synthesis data. We demonstrate the effectiveness of our approach using IP generators for discrete Fourier transforms and sorting networks. However, our algorithm is not specific to this application and can be applied to a wide range of Pareto front prediction problems. Copyright © 2012 ACM.","Area and performance estimation; High-level synthesis; Machine learning; Pareto optimality",
"Agarwal A., Bartlett P.L., Ravikumar P., Wainwright M.J.","Information-theoretic lower bounds on the oracle complexity of stochastic convex optimization",2012,"IEEE Transactions on Information Theory",100,"10.1109/TIT.2011.2182178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860244324&doi=10.1109%2fTIT.2011.2182178&partnerID=40&md5=6b1b49c5670aaf8e93f00d82caaca52f","Relative to the large literature on upper bounds on complexity of convex optimization, lesser attention has been paid to the fundamental hardness of these problems. Given the extensive use of convex optimization in machine learning and statistics, gaining an understanding of these complexity-theoretic issues is important. In this paper, we study the complexity of stochastic convex optimization in an oracle model of computation. We introduce a new notion of discrepancy between functions, and use it to reduce problems of stochastic convex optimization to statistical parameter estimation, which can be lower bounded using information-theoretic methods. Using this approach, we improve upon known results and obtain tight minimax complexity estimates for various function classes. © 2011 IEEE.","Computational learning theory; convex optimization; Fano's inequality; information-based complexity; minimax analysis; oracle complexity",
"Dutta D., Dutta P., Sil J.","Clustering by multi objective genetic algorithm",2012,"2012 1st International Conference on Recent Advances in Information Technology, RAIT-2012",13,"10.1109/RAIT.2012.6194619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862109101&doi=10.1109%2fRAIT.2012.6194619&partnerID=40&md5=b01e5b7d93719d3220c2aa8a8d5562f3","The aim of the paper is to study a real coded multi objective genetic algorithm based K-clustering, where K represents the number of clusters, may be known or unknown. If the value of K is known, it is called K-clustering algorithm. The searching power of Genetic Algorithm (GA) is exploited to get for proper clusters and centers of clusters in the feature space to optimize simultaneously intra-cluster distance (Homogeneity) (H) and inter-cluster distances (Separation) (S). Maximization of 1/H and S are the twin objectives of Multi Objective Genetic Algorithm (MOGA) achieved by measuring H and S using Euclidean distance metric, suitable for continuous features (attributes). We have selected 10 data sets from the UCI machine learning repository containing continuous features only to validate the proposed algorithms. All-important steps of algorithms are shown here. At the end, classification accuracies obtained by best chromosomes are shown. © 2012 IEEE.","Clustering; homogeneity and separation; Pareto optimal front; real coded multi objective genetic algorithm",
"Stalph P.O., Rubinsztajn J., Sigaud O., Butz M.V.","Function approximation with LWPR and XCSF: A comparative study",2012,"Evolutionary Intelligence",7,"10.1007/s12065-012-0082-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861636511&doi=10.1007%2fs12065-012-0082-7&partnerID=40&md5=35a1e9c8976bf465a328b71664668040","Function approximation, also called regression, is an important tool in numerical mathematics and engineering. The most challenging approximation problems arise, when the function class is unknown and the surface has to be approximated online from incoming samples. One way to achieve good approximations of complex non-linear functions is to cluster the input space into small patches, apply linear models in each niche, and recombine these models via a weighted sum. While it is rather simple to optimally fit a linear model to given data, it is fairly complex to find a reasonable structuring of the input space in order to exploit linearities in the underlying function. We compare two non-parametric regression algorithms that are able to approximate multi-dimensional, non-linear functions online. The XCSF Learning Classifier System is a modified version of XCS, which is a genetics-based machine learning algorithm. Locally Weighted Projection Regression is a statistics-based machine learning technique that is mainly used for function approximation tasks in robotics. For both algorithms the relevant, conflicting performance criteria are accuracy and population size, that is, the number of local models. We explore the trade-off between those criteria on three benchmark problems by means of intense grid search for Pareto optimal solutions. Detailed learning behavior is investigated using selected Pareto optimal parameters. The illustration of final input space clusterings sheds light on the structuring capabilities. A discussion of advantages and drawbacks completes this comparative study. © 2012 Springer-Verlag.","LWPR; Machine learning; Non-parametric regression; XCSF",
"Zafra A., Ventura S.","Multi-objective approach based on grammar-guided genetic programming for solving multiple instance problems",2012,"Soft Computing",3,"10.1007/s00500-011-0794-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861007399&doi=10.1007%2fs00500-011-0794-0&partnerID=40&md5=57a16c6c3cf84d86913aa1862e45bf18","Multiple instance learning (MIL) is considered a generalization of traditional supervised learning which deals with uncertainty in the information. Together with the fact that, as in any other learning framework, the classifier performance evaluation maintains a trade-off relationship between different conflicting objectives, this makes the classification task less straightforward. This paper introduces a multi-objective proposal that works in a MIL scenario to obtain well-distributed Pareto solutions to multi-instance problems. The algorithm developed, Multi-Objective Grammar Guided Genetic Programming for Multiple Instances (MOG3P-MI), is based on grammar-guided genetic programming, which is a robust tool for classification. Thus, this proposal combines the advantages of the grammar-guided genetic programming with benefits provided by multi-objective approaches. First, a study of multi-objective optimization for MIL is carried out. To do this, three different extensions of MOG3P-MI are designed and implemented and their performance is compared. This study allows us on the one hand, to check the performance of multi-objective techniques in this learning paradigm and on the other hand, to determine the most appropriate evolutionary process for MOG3P-MI. Then, MOG3P-MI is compared with some of the most significant proposals developed throughout the years in MIL. Computational experiments show that MOG3P-MI often obtains consistently better results than the other algorithms, achieving the most accurate models. Moreover, the classifiers obtained are very comprehensible. © 2011 Springer-Verlag.","Evolutionary rule learning; Grammar guided genetic programming; Multiple instance learning; Multiple objective learning",
"Ali A., Meilǎ M.","Experiments with Kemeny ranking: What works when?",2012,"Mathematical Social Sciences",93,"10.1016/j.mathsocsci.2011.08.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861777150&doi=10.1016%2fj.mathsocsci.2011.08.008&partnerID=40&md5=54b0be4936f6737a0f330d559dba06da","This paper performs a comparison of several methods for Kemeny rank aggregation (104 algorithms and combinations thereof in total) originating in social choice theory, machine learning, and theoretical computer science, with the goal of establishing the best trade-offs between search time and performance. We find that, for this theoretically NP-hard task, in practice the problems span three regimes: strong consensus, weak consensus, and no consensus. We make specific recommendations for each, and propose a computationally fast test to distinguish between the regimes.In spite of the great variety of algorithms, there are few classes that are consistently Pareto optimal. In the most interesting regime, the integer program exact formulation, local search algorithms and the approximate version of a theoretically exact branch and bound algorithm arise as strong contenders. © 2011 Elsevier B.V.",,
"Zuluaga M., Krause A., Milder P., Püschel M.","""Smart"" design space sampling to predict pare-to-optimal solutions",2012,"Proceedings of the ACM SIGPLAN Conference on Languages, Compilers, and Tools for Embedded Systems (LCTES)",11,"10.1145/2248418.2248436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864153273&doi=10.1145%2f2248418.2248436&partnerID=40&md5=d04b2a5f5b4c098d2ff58def2e6f02f5","Many high-level synthesis tools offer degrees of freedom in mapping high-level specifications to Register-Transfer Level descriptions. These choices do not affect the functional behavior but span a design space of different cost-performance tradeoffs. In this paper we present a novel machine learning-based approach that efficiently determines the Pareto-optimal designs while only sampling and synthesizing a fraction of the design space. The approach combines three key components: (1) A regression model based on Gaussian processes to predict area and throughput based on synthesis training data. (2) A ""smart"" sampling strategy, GP-PUCB, to iteratively refine the model by carefully selecting the next design to synthesize to maximize progress. (3) A stopping criterion based on assessing the accuracy of the model without access to complete synthesis data. We demonstrate the effectiveness of our approach using IP generators for discrete Fourier transforms and sorting networks. However, our algorithm is not specific to this application and can be applied to a wide range of Pareto front prediction problems. Copyright © 2012 ACM.","Area and performance estimation; High-level synthesis; Machine learning; Pareto optimality",
"Phan D.H., Suzuki J., Hayashi I.","Leveraging indicator-based ensemble selection in evolutionary multiobjective optimization algorithms",2012,"GECCO'12 - Proceedings of the 14th International Conference on Genetic and Evolutionary Computation",9,"10.1145/2330163.2330234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864679467&doi=10.1145%2f2330163.2330234&partnerID=40&md5=6095eac42722b016bbb38309b111fa84","Various evolutionary multiobjective optimization algorithms (EMOAs) have replaced or augmented the notion of dominance with quality indicators and leveraged them in selection operators. Recent studies show that indicator-based EMOAs outperform traditional dominance-based EMOAs. This paper proposes and evaluates an ensemble learning method that constructs an ensemble of existing indicators with a novel boosting algorithm called Pdi-Boosting. The proposed method is carried out with a training problem in which Pareto-optimal solutions are known. It can work with a simple training problem, and an ensemble of indicators can effectively aid parent selection and environmental selection in order to solve harder problems. Experimental results show that the proposed method is efficient thanks to its dynamic adjustment of training data. An ensemble of indicators outperforms existing individual indicators in optimality, diversity and robustness. The proposed ensemble-based evolutionary algorithm outperforms a well-known dominance-based EMOA and existing indicator-based EMOAs. © 2012 ACM.","boosting; evolutionary multiobjective optimization algorithms; indicator-based ensemble selection; quality indicators",
"Bonissone P.P.","Lazy meta-learning: Creating customized model ensembles on demand",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",12,"10.1007/978-3-642-30687-7_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864973312&doi=10.1007%2f978-3-642-30687-7_1&partnerID=40&md5=1d9209315898e10c8417a53ddf9e515f","In the not so distant future, we expect analytic models to become a commodity. We envision having access to a large number of data-driven models, obtained by a combination of crowdsourcing, crowdservicing, cloud-based evolutionary algorithms, outsourcing, in-house development, and legacy models. In this new context, the critical question will be model ensemble selection and fusion, rather than model generation. We address this issue by proposing customized model ensembles on demand, inspired by Lazy Learning. In our approach, referred to as Lazy Meta-Learning, for a given query we find the most relevant models from a DB of models, using their meta-information. After retrieving the relevant models, we select a subset of models with highly uncorrelated errors. With these models we create an ensemble and use their meta-information for dynamic bias compensation and relevance weighting. The output is a weighted interpolation or extrapolation of the outputs of the models ensemble. Furthermore, the confidence interval around the output is reduced as we increase the number of uncorrelated models in the ensemble. We have successfully tested this approach in a power plant management application. © 2012 Springer-Verlag.","coal-fired power plant management; computational intelligence; ensemble; entropy; fusion; lazy learning; Machine learning; meta-learning; neural networks; Pareto set",
"Costa M.A., Braga A.P., de Menezes B.R.","Convergence analysis of sliding mode trajectories in multi-objective neural networks learning",2012,"Neural Networks",8,"10.1016/j.neunet.2012.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863880041&doi=10.1016%2fj.neunet.2012.04.006&partnerID=40&md5=a3745b94673063ae99b9709420aac380","The Pareto-optimality concept is used in this paper in order to represent a constrained set of solutions that are able to trade-off the two main objective functions involved in neural networks supervised learning: data-set error and network complexity. The neural network is described as a dynamic system having error and complexity as its state variables and learning is presented as a process of controlling a learning trajectory in the resulting state space. In order to control the trajectories, sliding mode dynamics is imposed to the network. It is shown that arbitrary learning trajectories can be achieved by maintaining the sliding mode gains within their convergence intervals. Formal proofs of convergence conditions are therefore presented. The concept of trajectory learning presented in this paper goes further beyond the selection of a final state in the Pareto set, since it can be reached through different trajectories and states in the trajectory can be assessed individually against an additional objective function. © 2012 Elsevier Ltd.","Multi-objective learning; Neural networks; Sliding mode",
"Thill M., Koch P., Konen W.","Reinforcement learning with n-tuples on the game connect-4",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",15,"10.1007/978-3-642-32937-1_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866370625&doi=10.1007%2f978-3-642-32937-1_19&partnerID=40&md5=975fca71539e3fa62c3d4a884241bd94","Learning complex game functions is still a difficult task. We apply temporal difference learning (TDL), a well-known variant of the reinforcement learning approach, in combination with n-tuple networks to the game Connect-4. Our agent is trained just by self-play. It is able, for the first time, to consistently beat the optimal-playing Minimax agent (in game situations where a win is possible). The n-tuple network induces a mighty feature space: It is not necessary to design certain features, but the agent learns to select the right ones. We believe that the n-tuple network is an important ingredient for the overall success and identify several aspects that are relevant for achieving high-quality results. The architecture is sufficiently general to be applied to similar reinforcement learning tasks as well. © 2012 Springer-Verlag.","board games; feature generation; Machine learning; n-tuple systems; reinforcement learning; self-play; TDL",
"Takeda A., Mitsugi H., Kanamori T.","A unified robust classification model",2012,"Proceedings of the 29th International Conference on Machine Learning, ICML 2012",5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867129653&partnerID=40&md5=563d32ee4c7880b34867851219ce6756","A wide variety of machine learning algorithms such as support vector machine (SVM), minimax probability machine (MPM), and Fisher discriminant analysis (FDA), exist for binary classification. The purpose of this paper is to provide a unified classification model that includes the above models through a robust optimization approach. This unified model has several benefits. One is that the extensions and improvements intended for SVM become applicable to MPM and FDA, and vice versa. Another benefit is to provide theoretical results to above learning methods at once by dealing with the unified model. We give a statistical interpretation of the unified classification model and propose a non-convex optimization algorithm that can be applied to non-convex variants of existing learning methods. Copyright 2012 by the author(s)/owner(s).",,
"Torres L.C.B., Castro C.L., Braga A.P.","A computational geometry approach for pareto-optimal selection of neural networks",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",2,"10.1007/978-3-642-33266-1_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867671055&doi=10.1007%2f978-3-642-33266-1_13&partnerID=40&md5=ffdfee7ef980a7a371559b76abc38400","This paper presents a Pareto-optimal selection strategy for multiobjective learning that is based on the geometry of the separation margin between classes. The Gabriel Graph, a method borrowed from Computational Geometry, is constructed in order to obtain margin patterns and class borders. From border edges, a target separator is obtained in order to obtain a large margin classifier. The selected model from the generated Pareto-set is the one that is closer to the target separator. The method presents robustness in both synthetic and real benchmark datasets. It is efficient for Pareto-Optimal selection of neural networks and no claim is made that the obtained solution is equivalent to a maximum margin separator. © 2012 Springer-Verlag.","classification; decision-making; gabriel graph; multiobjective machine learning",
"Guo C., Ryoo H.S.","Compact MILP models for optimal and Pareto-optimal LAD patterns",2012,"Discrete Applied Mathematics",21,"10.1016/j.dam.2012.05.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865084222&doi=10.1016%2fj.dam.2012.05.006&partnerID=40&md5=c1330b6a07966f56df7deb49233faab9","This paper develops MILP models for various optimal and Pareto-optimal LAD patterns that involve at most 2n 01 decision variables, where n is the number of support features for the data under analysis, which usually is small. Noting that the previous MILP pattern generation models are defined in 2n+m 01 variables, where m is the number of observations in the dataset with m≫n in general, the new models are expected to generate useful LAD patterns more efficiently. With experiments on six well-studied machine learning datasets, we first demonstrate the efficiency of the new MILP models and next use them to show different utilities of strong prime patterns and strong spanned patterns in enhancing the overall classification accuracy of a LAD decision theory. © 2012 Elsevier B.V. All rights reserved.","LAD; Maximum prime pattern; Maximum spanned pattern; MILP; Strong prime pattern; Strong spanned pattern",
"Galvan E., Malak R.","A genetic algorithm approach for technology characterization",2012,"Proceedings of the ASME Design Engineering Technical Conference",6,"10.1115/DETC2012-70465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884598673&doi=10.1115%2fDETC2012-70465&partnerID=40&md5=21c6e43f8ac7418784f9660933aa0a13","It is important for engineers to understand the capabilities and limitations of the technologies they consider for use in their systems. Several researchers have investigated approaches for modeling the capabilities of a technology with the aim of supporting the design process. In these works, the information about the physical form is typically abstracted away. However, the efficient generation of an accurate model of technical capabilities remains a challenge. Pareto frontier based methods are often used but yield results that are of limited use for subsequent decision making and analysis. Models based on parameterized Pareto frontiers-Termed Technology Characterization Models (TCMs)-Are much more reusable and composable. However, there exists no efficient technique for modeling the parameterized Pareto frontier. The contribution of this paper is a new algorithm for modeling the parameterized Pareto frontier to be used as a model of the characteristics of a technology. The proposed algorithm uses fundamental concepts from multiobjective genetic optimization and machine learning to generate a model of the technology frontier. © 2012 by ASME.",,
"Litao Z., Tiejun W., Xi J., Jin J.","The machine learning classifier based on Multi-Objective Genetic Algorithm",2012,"Proceedings - 2012 7th International Conference on Computing and Convergence Technology (ICCIT, ICEI and ICACT), ICCCT 2012",1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881167866&partnerID=40&md5=4c8828077c9c21a447365929928c2913","This paper presents a machine learning classifier algorithm based on MOGA (Multi-Objective Genetic Algorithm), which applies the information entropy theory to optimize the MOGA and then can be used to discretize the continuous attributes. According to the practical problems, the fitness vector can be constructed by judging multi-objective functions to find the Pareto optimal solutions. Combining the classic set theories with the two relationships, i.e. coverage and contradictory, between chromosomes, more reasonable selection rules can be worked out to delete the redundant chromosomes and get more efficient classification rules. The new algorithm was applied to Iris and Wine dataset from UCI. By comparison, the algorithm in this paper has higher classification accuracy than KNN, C4.5 and NaiveBayes. © 2012 AICIT.","Delete Rule; Discrete; Learning Classifier; MOGA; Multi-Objective; Pareto Optimization",
"Dutta D., Dutta P., Sil J.","Simultaneous feature selection and clustering for categorical features using multi objective genetic algorithm",2012,"Proceedings of the 2012 12th International Conference on Hybrid Intelligent Systems, HIS 2012",7,"10.1109/HIS.2012.6421332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874183876&doi=10.1109%2fHIS.2012.6421332&partnerID=40&md5=87ac07da52c260bf99c298f74451c0a0","Clustering is unsupervised learning where ideally class levels and number of clusters (K) are not known. K-clustering can be categorized as semi-supervised learning where K is known. Here we have considered K-Clustering with simultaneous feature selection. Feature subset selection helps to identify relevant features for clustering, increase understandability, better scalability and improve accuracy. Here we have used two measures, intra-cluster distance (Homogeneity, H) and inter-cluster distances (Separation, S) for clustering. Measures are using mod distance per feature suitable for categorical features (attributes). Rather than combining H and S to frame the problem as single objective optimization problem, we use multi objective genetic algorithm (MOGA) to find out diverse solutions near to Pareto optimal front in the two-dimensional objective space. Each evolved solution represents a set of cluster modes (CMs) build by selected feature subset. Here, K-modes is hybridized with MOGA. We have used hybridized GA to combine global searching powers of GA with local searching powers of K-modes. Considering context sensitivity, we have used a special crossover operator called 'pairwise crossover' and 'substitution'. The main contribution of this paper is simultaneous dimensionality reduction and optimization of objectives using MOGA. Results on 3 benchmark data sets from UCI Machine Learning Repository containing categorical features shows the superiority of the algorithm. © 2012 IEEE.",,
"Utkin L.V., Zhuk Y.A., Selikhovkin I.A.","A classification model based on incomplete information on features in the form of their average values",2012,"Scientific and Technical Information Processing",3,"10.3103/S0147688212060068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872961895&doi=10.3103%2fS0147688212060068&partnerID=40&md5=5bef54958621657f59b8bfebfb2b5d42","This paper presents a model of classification under incomplete information in the form of mathematical expectations of features; it is based on the minimax (minimin) strategy of decision making. The discriminant function is calculated by maximization (minimization) of the risk functional as a measure of misclassification, by a set of distributions of probabilities with bounds determined by information on features, and minimization by the set of parameters. The algorithm is reduced to solution of the parametric problem of linear programming. © 2012 Allerton Press, Inc.","classification; linear programming; machine learning; mathematical expectation; minimax strategy; risk functional; the loss function",
"Alamaniotis M., Ikonomopoulos A., Tsoukalas L.H.","Optimal assembly of support vector regressors with application to system monitoring",2012,"International Journal on Artificial Intelligence Tools",6,"10.1142/S0218213012500340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872190390&doi=10.1142%2fS0218213012500340&partnerID=40&md5=17342f8ba60eb58fc74ef6c527790c1d","Power plants are high complexity systems running risks of low frequency but high consequence. The field of machine learning appears to offer the necessary tools for developing automated instrument surveillance systems supporting decision-making in critical systems such as power stations. A novel prediction method is presented with the aim to enhance system safety and performance by making an ahead-of-time prediction of the status of fundamental system components and subsequent detection of abnormalities. The utilization of a linear assembly of support vector regressors employing unique kernels is proposed in a hybrid computational scheme that encompasses the formulation of a multi-objective optimization problem addressed with an evolutionary algorithm that employs Pareto theory to identify an optimal solution. The approach is tested on the ahead of time prediction of the crack length in power plant turbine blades utilizing historical data. The results obtained highlight the efficiency of the proposed methodology since better performance over the standalone support vector regressors is observed. © 2012 World Scientific Publishing Company.","multi-objective optimization; parameter monitoring; Pareto optimal; SVR",
"Van Moffaert K., Drugan M.M., Nowé A.","Scalarized multi-objective reinforcement learning: Novel design techniques",2013,"Belgian/Netherlands Artificial Intelligence Conference",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072668093&partnerID=40&md5=362adbe0fe603f924f5cb5cac90037b7","In multi-objective problems, it is key to find compromising solutions that balance different objectives. The linear scalarization function is often utilized to translate the multi-objective nature of a problem into a standard, single-objective problem. Generally, it is noted that such as linear combination can only find solutions in convex areas of the Pareto front, therefore making the method inapplicable in situations where the shape of the front is not known beforehand. We propose a non-linear scalarization function, called the Chebyshev scalarization function in multi-objective reinforcement learning. We show that the Chebyshev scalarization method overcomes the flaws of the linear scalarization function and is able to discover all Pareto optimal solutions in non-convex environments. © 2013 University of Groningen. All rights reserved.",,"University of Groningen"
"Dutta D., Dutta P., Sil J.","Categorical feature reduction using multi objective genetic Algorithm in cluster analysis",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",3,"10.1007/978-3-642-45318-2_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892713608&doi=10.1007%2f978-3-642-45318-2_7&partnerID=40&md5=70ff4a45dc55f45274819ea969b5503c","In the paper, real coded multi objective genetic algorithm based K-clustering method has been studied, K represents the number of clusters. In K-clustering algorithm value of K is known. The searching power of Genetic Algorithm (GA) is exploited to search for suitable clusters and centers of clusters so that intra-cluster distance (Homogeneity, H) and inter-cluster distances (Separation, S) are simultaneously optimized. It is achieved by measuring H and S using Mod distance per feature metric, suitable for categorical features (attributes). We have selected 3 benchmark data sets from UCI Machine Learning Repository containing categorical features only. The paper proposes two versions of MOGA based K-clustering algorithm. In proposed MOGA (H, S), all features are taking part in building chromosomes and calculation of H and S values. In MOGA-Feature-Selection (H, S), selected features take part to build chromosomes, relevant for clusters. Here, K-modes is hybridized with GA. We have used hybridized GA to combine global searching capabilities of GA with local searching capabilities of K-modes. Considering context sensitivity, we have used a special crossover operator called ""pairwise crossover"" and ""substitution"". The main contribution of this paper is simultaneous dimensionality reduction and optimization of objectives using MOGA. © 2013 Springer-Verlag Berlin Heidelberg.","Clustering; dimensionality reduction; homogeneity and separation; Pareto optimal front; real coded multi objective genetic algorithm","Springer Verlag"
"Zhao J., Ding Y., Xu G., Hu L., Dong Y., Fu X.","A location selection policy of live virtual machine migration for power saving and load balancing",2013,"The Scientific World Journal",19,"10.1155/2013/492615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890092998&doi=10.1155%2f2013%2f492615&partnerID=40&md5=2ccad30867d407c216530190ae047e54","Green cloud data center has become a research hotspot of virtualized cloud computing architecture. And load balancing has also been one of the most important goals in cloud data centers. Since live virtual machine (VM) migration technology is widely used and studied in cloud computing, we have focused on location selection (migration policy) of live VM migration for power saving and load balancing. We propose a novel approach MOGA-LS, which is a heuristic and self-adaptive multiobjective optimization algorithm based on the improved genetic algorithm (GA). This paper has presented the specific design and implementation of MOGA-LS such as the design of the genetic operators, fitness values, and elitism. We have introduced the Pareto dominance theory and the simulated annealing (SA) idea into MOGA-LS and have presented the specific process to get the final solution, and thus, the whole approach achieves a long-term efficient optimization for power saving and load balancing. The experimental results demonstrate that MOGA-LS evidently reduces the total incremental power consumption and better protects the performance of VM migration and achieves the balancing of system load compared with the existing research. It makes the result of live VM migration more high-effective and meaningful. © 2013 Jia Zhao et al.",,"Hindawi Publishing Corporation"
"Lourenço N., Martins R., Barros M., Horta N.","Analog circuit design based on robust POFs using an enhanced MOEA with SVM models",2013,"Lecture Notes in Electrical Engineering",8,"10.1007/978-3-642-36329-0_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884550184&doi=10.1007%2f978-3-642-36329-0_7&partnerID=40&md5=14d477c5f6520e88c4ab710b0f0acb3e","In this chapter, a multi-objective design methodology for automatic analog integrated circuits (IC) synthesis, which enhances the robustness of the solution by varying technological and environmental parameters, is presented. The automatic analog IC sizing tool GENOM-POF was implemented and used to demonstrate the methodology, and to verify the effect of corner cases on the Pareto optimal front (POF). To enhance the efficiency of the tool, a supervised learning strategy, which is based on Support Vector Machines (SVM), is used to create feasibility models that efficiently prune the design search space during the optimization process, thus, reducing the overall number of required evaluations. The GPOF-SVM optimization kernel consists of a modified version of the multi-objective evolutionary algorithm (MOEA), NSGA-II, and uses HSPICE® as the evaluation engine. The usage of standard inputs and outputs eases the integration with other design automation tools, either at system level or at physical level, which is the case of LAYGEN, an in-house layout generation tool. Finally, the approach was validated using benchmark examples, which consist of circuits tested with similar tools, particularly, the former GENOM tool and other tools from literature. © Springer-Verlag Berlin Heidelberg 2013.",,"Springer Verlag"
"Utkin L.V., Zhuk Y.A.","Robust novelty detection in the framework of a contamination neighbourhood",2013,"International Journal of Intelligent Information and Database Systems",5,"10.1504/IJIIDS.2013.053830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877766783&doi=10.1504%2fIJIIDS.2013.053830&partnerID=40&md5=942e4b23260408e58a09b166cbd550db","A novelty detection robust model is studied in the paper. It is based on contaminated (robust) models which produce a set of probability distributions of data points instead of the empirical distribution. The minimax and minimin strategies are used to construct optimal separating functions. An algorithm for computing the optimal parameters of the novelty detection model is reduced to a finite number of standard SVM tasks with weighted data points. Experimental results with synthetic and some real data illustrate the proposed novelty detection robust model. Copyright © 2013 Inderscience Enterprises Ltd.","Classification; Machine learning; Minimax strategy; Novelty detection; Quadratic programming; Support vector machine; SVM","Inderscience Publishers"
