Title,Authors,Publisher,Year,Abstract,DOI,Keywords,Citations,Remove - Title
Image Transfer Applied in Electric Machine Optimization,S. Yang; Y. Meng; X. Meng,2020 IEEE 61th International Scientific Conference on Power and Electrical Engineering of Riga Technical University (RTUCON),2020.0,"Researches have been conducted on the surrogate-modeling for better trade-off between solution accuracy and solving effort in design space exploration. In this paper, a robust method combining the deep-learning technique, image-transfer, with finite-element-modeling (FEM) in the electric machine optimization to accelerate the convergence is proposed. Specifically, a conditional generative-adversarial network is built to learn from the FEM simulated data about the relationship between the geometric drawing input and magnetic field plot output. The learned model can obtain the result 24x faster than finite-element modeling while maintaining the accuracy. This approximation model is then applied as the sample filter prior to the FEM in the genetic-algorithm powered optimization framework. The test done on a V-shape magnet motor optimization shows that closely matched Pareto-frontier can be found by this approach while the computing time is reduced by >50% at beginning stage for acceleration.",10.1109/RTUCON51174.2020.9316579,Statistical learning;Design optimization;Permanent magnet machines,,
Reliable lymph node metastasis prediction in head & neck cancer through automated multi-objective model,Z. Zhou; M. Dohopolski; L. Chen; X. Chen; S. Jiang; D. Sher; J. Wang,2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI),2019.0,"Lymph node metastasis (LNM) plays an important role for accurately diagnosing and treating the patients with head & neck cancer. Positron emission tomography (PET) and computed tomography (CT) are two primary imaging modalities used for identifying LNM status. However, the uncertainty of LNM may exist especially for reactive or small nodes. Furthermore, identifying the LNM on PET or CT is greatly dependent on the physician's experience. Therefore, developing a reliable and automatic model is essential for accurately identifying LNM. Multi-objective models have shown promising predictive results by considering different objectives such as sensitivity and specificity. However, most multi-objective models need to choose an optimal model manually. In this work, we proposed an automated multi-objective learning model (AutoMO) for predicting LNM reliably. Instead of picking one optimal model, all the Pareto-optimal models with the calculated relative weights are used in AutoMO. Then the evidential reasoning (ER) approach is used for fusing the output probability for obtaining more reliable results than traditional fusion method. We built three models for PET, CT and PET&CT and the results showed that PET&CT outperformed two single modality based models. The comparative study demonstrated that AutoMO obtained better performance than current available multi-objective and deep learning methods, and more reliable results can be acquired when using ER fusion.",10.1109/BHI.2019.8834658,Lymph node metastasis;Head & neck cancer;Automated multi-objective learning (AutoMO);Multi-objective optimization;Evidential reasoning,2.0,
A novel algorithm to keep the formation for multiple vehicles based on NSGA and DCNN,Z. Huai; H. Wang; M. Gong,2020 3rd International Conference on Unmanned Systems (ICUS),2020.0,"To address the problem of keeping the formation for multiple vehicles, this paper proposes a novel algorithm based on non-dominated sorting genetic algorithm II (NSGA- II) and deep convolutional neural network(DCNN). Firstly, the problem of keeping the formation for multiple vehicles is translated into three objective functions. Secondly, NSGA- II is used to optimize and a strategy is designed to choose the guidance command from Pareto solution set. Thirdly, in order to improve the calculation speed, a 19-layer deep learning model is built based on DCNN, residual network and batch normalization layer, then a correction part is designed to avoid the phenomenon that the accumulation of generalization error will brings obvious error on keeping the formation. Finally, three sets of simulation demonstrate the effectiveness of this algorithm.",10.1109/ICUS50048.2020.9275022,keeping the formation;multiple vehicles;nondominated sorting genetic;deep convolutional neural network,,
Towards Intelligent Architecting of Aerospace System-of-Systems: Part II,C. Guariniello; L. Mockus; A. K. Raz; D. A. DeLaurentis,2020 IEEE Aerospace Conference,2020.0,"System-of-Systems (SoS) are composed of large scale independent and complex heterogeneous systems which collaborate to create capabilities not achievable by a single system, for example air transportation system, satellite constellations, and space exploration architectures. To support architecting of aerospace SoS, in this work we present a methodology to accurately predict different aspects of performance for design/operation and SoS architecting, expanding previous work on intelligent architecting of aerospace SoS, by adding rigorous Uncertainty Quantification via Bayesian Neural Networks. A Bayesian Neural Network is a neural network with a-priori distribution on its weights. In addition to solving the overfit problem, which is common to traditional deep neural networks, Bayesian Neural Networks provide automated model pruning (or reduction of feature design space), that addresses a well-known dimensionality curse in the SoS domain. We enable SoS design/operation by using modeling and simulation, quantifying the uncertainty inherently present in SoS, and utilizing Artificial Intelligence and optimization techniques to design and operate the system so that its expected performance or behavior when the unexpected occurs (for example, a failure) still satisfies user requirements. Much of the research effort in the field of SoS has focused on the analysis of these complex entities, while there are still gaps in developing tools for automated synthesis and engineering of SoS that consider all the various aspects in this problem domain. In this expansion of the use of Artificial Intelligence towards automated design, these techniques are used not only to discover and employ features of interest in a complex design space, but also to assess how uncertainty can affect performance. This capability supports the automated design of robust architectures, that can effectively meet the user needs even in presence of uncertainty. The SoS design and evaluation methodology presented in this paper and demonstrated on a synthetic modular satellites problem starts from modeling and simulation, and design of experiments to explore the design space. The following step is deep learning, to develop a model which relates SoS architectural features with performance metrics. Uncertainty Quantification techniques are then applied to assess the performance metrics for different architectures. Once the most critical features that affect the SoS performance are identified, stochastic optimization of the SoS on a reduced design space can be performed to determine Pareto optimal features. The final step is determining if any additional design/operation measures need to be explored to further maximize the SoS performance.",10.1109/AERO47225.2020.9172585,,,
BioNetExplorer: Architecture-Space Exploration of Biosignal Processing Deep Neural Networks for Wearables,B. S. Prabakaran; A. Akhtar; S. Rehman; O. Hasan; M. Shafique,IEEE Internet of Things Journal,2021.0,"Deep learning (DL) has been shown to be highly effective in solving various problems across numerous applications and domains, such as autonomous driving and image recognition. Due to the advent of DL, plenty of research works have explored the applicability of DL, more specifically deep neural networks (DNNs), to solve pattern recognition and computer vision challenges. More recently, researchers have focused on the topic of automated generation and exploration of DNN architectures, which tend to mostly focus on image recognition or visual data sets, primarily, due to the computer vision-related DL advancements. In this work, we propose the BioNetExplorer framework to systematically generate and explore multiple DNN architectures for biosignal processing in wearable devices. Our framework varies key neural architecture parameters to search for an embedded DNN architecture with a low hardware overhead, which can be deployed in wearable edge devices to analyze the biosignal data and to extract the relevant information, such as arrhythmia and seizure. Furthermore, BioNetExplorer reduces the exploration time by deploying genetic algorithms, such as NSGA-II, SPEA-2, etc. Our framework also enables the hardware-aware DNN architecture search by imposing user requirements and hardware constraints (storage, FLOPs, etc.) during the exploration stage, thereby limiting the number of networks explored. Moreover, BioNetExplorer can also be used to search for DNNs based on the user-required output classes; for instance, a user might require a specific output class, attributed toward ventricular fibrillation, due to genetic predisposition or a preexisting heart condition. The use of genetic algorithms reduces the exploration time, on average, by 9×, compared to exhaustive exploration. We are successful in identifying Pareto-optimal designs, which can reduce the storage overhead of DNN by ~ 30 MB for a quality loss of less than 0.5%. To enable low-cost embedded DNNs, BioNetExplorer also employs different model compression techniques to further reduce the storage overhead of the network by up to 53× for a quality loss of $ <; 0.2\%$ .",10.1109/JIOT.2021.3065815,Bio-signals;convolution;deep neural networks (DNNs);efficiency;embedded systems;exploration;healthcare;long short-term memory (LSTM);performance;wearables,2.0,
A Bi-objective Hyper-Heuristic Support Vector Machines for Big Data Cyber-Security,N. R. Sabar; X. Yi; A. Song,IEEE Access,2018.0,"Cyber security in the context of big data is known to be a critical problem and presents a great challenge to the research community. Machine learning algorithms have been suggested as candidates for handling big data security problems. Among these algorithms, support vector machines (SVMs) have achieved remarkable success on various classification problems. However, to establish an effective SVM, the user needs to define the proper SVM configuration in advance, which is a challenging task that requires expert knowledge and a large amount of manual effort for trial and error. In this paper, we formulate the SVM configuration process as a bi-objective optimization problem in which accuracy and model complexity are considered as two conflicting objectives. We propose a novel hyper-heuristic framework for bi-objective optimization that is independent of the problem domain. This is the first time that a hyper-heuristic has been developed for this problem. The proposed hyper-heuristic framework consists of a high-level strategy and low-level heuristics. The high-level strategy uses the search performance to control the selection of which low-level heuristic should be used to generate a new SVM configuration. The low-level heuristics each use different rules to effectively explore the SVM configuration search space. To address bi-objective optimization, the proposed framework adaptively integrates the strengths of decompositionand Paretobased approaches to approximate the Pareto set of SVM configurations. The effectiveness of the proposed framework has been evaluated on two cyber security problems: Microsoft malware big data classification and anomaly intrusion detection. The obtained results demonstrate that the proposed framework is very effective, if not superior, compared with its counterparts and other algorithms.",10.1109/ACCESS.2018.2801792,Hyper-heuristics;big data;cyber security;optimisation,21.0,
Non-symmetric Preferences in the IPA Market with Reinforcement Learning,E. R. Gomes; R. Kowalczyk,2008 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,2008.0,"Machine Learning has been proposed to support and optimize market-based resource allocation. In particular, reinforcement learning (RL) has been used to improve the allocation in terms of the utility received by resource requesting agents in the iterative price adjustment (IPA) mechanism. In such an approach, utility functions describe the agents' preferences for resource attributes and are the basis for RL to learn demand functions that are optimized for the market. It has been shown that the reward functions based on the individual utility of the agents and the social welfare of the allocation can deliver similar social results when the market consists only of learning agents with symmetric preferences. In this paper we investigate the IPA market-based resource allocation with RL for the case of agents with non-symmetric preferences. We show through experimental investigation that the results observed above are also held in this case. In particular, we show that the individual-based reward function is able to approximate the solution to the fairest Pareto-optimal allocation in situations where the social-based reward function fails.",10.1109/WIIAT.2008.77,Market-based Resource Allocation;Iterative Price Adjustment;Reinforcement Learning;Individual;Social Rewards,,
Multi-Task Learning for Multi-Objective Evolutionary Neural Architecture Search,R. Cai; J. Luo,2021 IEEE Congress on Evolutionary Computation (CEC),2021.0,"Neural architecture search (NAS) is an exciting new field in automating machine learning. It can automatically search for the architecture of neural networks. But the current NAS has extremely high requirements for hardware equipment and time costs. In this work, we propose a predictor based on Radial basis function neural network (RBFNN) as a surrogate model of Bayesian optimization to predict the performance of neural architecture. The existing work does not consider the difficulty of directly searching for neural architectures that meet the performance requirements of NAS in real-world applications. Meanwhile, NAS needs to execute multiple times independently when facing multiple similar tasks. Therefore, we further propose a multi-task learning surrogate model with multiple RBFNNs. The model not only functions as a predictor, but also learns knowledge of similar tasks jointly. The performance of NAS is improved by processing multiple tasks simultaneously. Also, the current NAS is committed to searching for very high-performance networks and does not take into account that neural architectures are limited by device memory during actual deployment. The scale of architecture also needs to be considered. We use a multi-objective optimization algorithm to simultaneously balance the performance and the scale, and build a multi-objective evolutionary search framework to find the Pareto optimal front. Once the NAS is completed, decision-makers can choose the appropriate architecture for deployment according to different performance requirements and hardware conditions. Compared with existing NAS work, our proposed MT-ENAS algorithm is able to find a neural architecture with competitive performance and smaller scale in a shorter time.",10.1109/CEC45853.2021.9504721,neural architecture search;multi-task learning;surrogate model;multi-objective optimization,,
Boosting the Efficiency of the Harmonics Elimination VLSI Architecture by Arithmetic Approximations,P. da Costa; P. T. L. Pereira; G. Paim; E. da Costa; S. Bampi,"2021 28th IEEE International Conference on Electronics, Circuits, and Systems (ICECS)",2021.0,"Approximate computing emerged as a key alternative for trading off accuracy against energy efficiency and area reduction. Error-tolerant applications, such as multimedia processing, machine learning, and signal processing, can process the information with lower-than-standard accuracy at the circuit level while still fulfilling a good and acceptable service quality at the application level. Adaptive filtering-based systems have been demonstrating high resiliency against hardware errors due to their intrinsic self-healing characteristic. This paper investigates the design space exploration of arithmetic approximations in a Very Large-Scale Integration (VLSI) harmonic elimination (HE) hardware architecture based on Least Mean Square (LMS) adaptive filters. We evaluate the Pareto front of the area- and power versus quality curves by relaxing the arithmetic precision and by adopting both approximate multipliers (AxMs) in combination with approximate adders (AxAs). This paper explores the benefits and impacts of the Dynamic Range Unbiased (DRUM), Rounding-based Approximate (RoBA), and Leading one Bit-based Approximate (LoBA) multipliers in the power dissipation, circuit area, and quality of the VLSI HE architectures. Our results highlight the LoBA 0 as the most efficient AxM applied in the HE architecture. We combine the LoBA 0 with Copy and LOA AxAs with variations in the approximation level (L). Notably, LoBA 0 and LOA with <tex>$L=6$</tex> resulted in savings of 43.7% in circuit area and 45.2% in power dissipation, compared to the exact HE, which uses multiplier and adder automatically selected by the logic synthesis tool. Finally, we demonstrate that the best hardware architecture found in our investigation successfully eliminates the contaminating spurious noise (i.e., 60 Hz and its harmonics) from the signal.",10.1109/ICECS53924.2021.9665538,Approximate Computing;Approximate multipliers;VLSI Design;LMS;Harmonics Suppression,,
Hybrid knowledge-based evolutionary many-objective optimization,B. Zhang; K. Shafi; H. A. Abbass,2016 IEEE Congress on Evolutionary Computation (CEC),2016.0,"Knowledge-based optimization is a recent direction in evolutionary optimization research which aims at understanding the optimization process, discovering relationships between decision variables and performance parameters, and using discovered knowledge to improve the optimization process, using machine learning techniques. A novel evolutionary optimization framework that incorporates a knowledge-based representation to search for Pareto optimal patterns in decision space was proposed earlier. This paper extends this framework to problems with four and more objectives, commonly referred to as many-objective optimization problems, using a hybridization approach with NSGA3. Experimental results on standard test functions are presented to demonstrate the advantages of the proposed hybrid algorithm in both objective and decision spaces.",10.1109/CEC.2016.7743899,,1.0,
Alleviating Catastrophic Forgetting via Multi-Objective Learning,Yaochu Jin; B. Sendhoff,The 2006 IEEE International Joint Conference on Neural Network Proceedings,2006.0,"Handling catastrophic forgetting is an interesting and challenging topic in modeling the memory mechanisms of the human brain using machine learning models. From a more general point of view, catastrophic forgetting reflects the stability-plasticity dilemma, which is one of the several dilemmas to be addressed in learning systems: to retain the stored memory while learning new information. Different to the existing approaches, we introduce a Pareto-optimality based multi-objective learning framework for alleviating catastrophic learning. Compared to the single-objective learning methods, multi-objective evolutionary learning with the help of pseudo-rehearsal is shown to be more promising in dealing with the stability-plasticity dilemma.",10.1109/IJCNN.2006.247332,,2.0,
Personalized Neural Architecture Search,C. Kulbach; S. Thoma,2021 International Conference on Data Mining Workshops (ICDMW),2021.0,"Existing approaches for Neural Architecture Search (NAS) aim at efficiently maximizing individual or sets of objectives (e.g. high accuracy or a low number of parameters) by exploiting Reinforcement Learning (RL), evolutionary algorithms, or Bayesian optimization. Most multi-objective NAS algorithms assume that all objectives are fully known and require them to be broadly explored to successfully approximate the Pareto front, which results in computational expensive search algorithms. To address this problem, we propose an interactive machine learning approach based on preference elicitation which enables end-users to explore and find a custom loss function and can be directly used for State-of-the-Art single-objective black-box optimization. We integrate our approach into State-of-the-Art single objective NAS algorithms and evaluate it against multi-objective approaches on the NATS-Bench benchmark dataset. Furthermore, we show that diverse end-user preferences can be successfully approximated in terms of loss functions, leading to suitable neural architectures.",10.1109/ICDMW53433.2021.00077,Neural Architecture Search;Personalization;User Centric AI;Ranking,,
PASAPTO: Policy-aware Security and Performance Trade-off Analysis--Computation on Encrypted Data with Restricted Leakage,A. Fischer; J. Janneck; J. Kussmaul; N. Krätzschmar; F. Kerschbaum; E. Bodden,2020 IEEE 33rd Computer Security Foundations Symposium (CSF),2020.0,"This work considers the trade-off between security and performance when revealing partial information about encrypted data computed on. The focus of our work is on information revealed through control flow side-channels when executing programs on encrypted data. We use quantitative information flow to measure security, running time to measure performance and program transformation techniques to alter the trade-off between the two. Combined with information flow policies, we perform a policy-aware security and performance trade-off (PASAPTO) analysis. We formalize the problem of PASAPTO analysis as an optimization problem, prove the NP-hardness of the corresponding decision problem and present two algorithms solving it heuristically. We implemented our algorithms and combined them with the Dataflow Authentication (DFAuth) approach for outsourcing sensitive computations. Our DFAuth Trade-off Analyzer (DFATA) takes Java Bytecode operating on plaintext data and an associated information flow policy as input. It outputs semantically equivalent program variants operating on encrypted data which are policy-compliant and approximately Pareto-optimal with respect to leakage and performance. We evaluated DFATA in a commercial cloud environment using Java programs, e.g., a decision tree program performing machine learning on medical data. The decision tree variant with the worst performance is 357% slower than the fastest variant. Leakage varies between 0% and 17% of the input.",10.1109/CSF49147.2020.00024,,,
Throughput-Oriented Spatio-Temporal Optimization in Approximate High-Level Synthesis,M. T. Leipnitz; G. L. Nazar,2020 IEEE 38th International Conference on Computer Design (ICCD),2020.0,"Current and emerging systems for high-throughput applications, such as machine learning, cloud computing, and real-time video encoding demand real-time processing computations, heavily constrained by latency and power requirements. To deal with the increasing computational complexity, designers may resort to approximate accelerators for error-resilient compute-intensive kernels to meet such requirements with acceptable deviation from the exact implementation. However, since time-to-market is crucial when dealing with evolving applications, technologies, and standards, hand-crafting approximate accelerators may impose prohibitive development time and cost overheads. In this scenario, approximate High-Level Synthesis (HLS) methodologies have been proposed to deal with the complexity of exploring approximation techniques. Nevertheless, current tools are not suitable for exploring throughput optimizations, being instead constrained to perform specific improvements on area, power, and performance. In this work, we propose the use of HLS to generate Pareto-optimal accelerators for throughput-constrained applications. Particularly, we present a throughput-oriented approximate HLS methodology that explores both delay and area optimizations to increase the reuse over time and parallelism of such accelerators. Results show that our method is able to improve throughput by up to 80 % with no additional area costs or to sustain the same throughput of the exact design with about 45 % less area while introducing manageable error for most applications. Moreover, our method can attain throughput improvements of up to 18% when compared with recent works focusing only on performance or area optimizations, with no additional costs.",10.1109/ICCD50377.2020.00060,High-Level Synthesis;Approximate Computing;Design Space Exploration,1.0,
Automatic Fuzzy Clustering Using Non-Dominated Sorting Particle Swarm Optimization Algorithm for Categorical Data,T. P. Q. Nguyen; R. J. Kuo,IEEE Access,2019.0,"Categorical data clustering has been attracted a lot of attention recently due to its necessary in the real-world applications. Many clustering methods have been proposed for categorical data. However, most of the existing algorithms require the predefined number of clusters which is usually unavailable in real-world problems. Only a few works focused on automatic clustering, but mainly handled for numerical data. This study develops a novel automatic fuzzy clustering using non-dominated sorting particle swarm optimization (AFC-NSPSO) algorithm for categorical data. The proposed AFC-NSPSO algorithm can automatically identify the optimal number of clusters and exploit the clustering result with the corresponding selected number of clusters. In addition, a new technique is investigated to identify the maximum number of clusters in a dataset based on the local density. To select a final solution in the first Pareto front, some internal validation indices are used. The performance of the proposed AFC-NSPSO on the real-world datasets collected from the UCI machine learning repository exhibits effectiveness compared with some other existing automatic categorical clustering algorithms. Besides, this study also applies the proposed algorithm to analyze a real-world case study with an unknown number of clusters.",10.1109/ACCESS.2019.2927593,Automatic clustering;categorical data;local density;NSPSO,6.0,
A Chance Constrained Programming Based Multi-Criteria Decision Making Under Uncertainty,P. D. Pantula; S. S. Miriyala; K. Mitra,2019 Fifth Indian Control Conference (ICC),2019.0,"Multi-criteria decision making under uncertainty is a common practice followed in industries and academia. Among several types of uncertainty handling techniques, Chance Constrained Programming (CCP) is considered as an efficient and tractable approach provided one has accessibility to distribution of the data for uncertain parameters. However, the assumption that the uncertain parameters must follow some well-behaved probability distribution is a myth for most of the practical applications. This paper proposes a methodology to amalgamate machine learning algorithms with CCP and thereby make it data-driven. A novel fuzzy clustering mechanism is implemented to transcript the uncertain space such that the exact regions of uncertainty are identified. Subsequently, density based boundary point detection and Delaunay triangulation based boundary construction enable intelligent Sobol based sampling in these regions for use in CCP. The Fuzzy clustering mechanism used in the proposed method transforms the existing fuzzy C-means technique such that the decision variables are significantly reduced. This enables evolutionary optimizers to obtain better approximations of the uncertain space by identifying the true clusters. A highly nonlinear real life model for continuous casting from steelmaking industries is considered as a case study for testing the efficiency of data based CCP along with a comprehensive comparison between conventional CCP approach using box uncertainty set and proposed methodology. As the resulting CCP problem is multi-objective in nature, the Pareto solutions are obtained by NSGA II.",10.1109/INDIANCC.2019.8715586,Data Driven Chance Constrained Programming;Fuzzy Clustering;Multi-objective Optimization,1.0,
A Novel Feature Selection with Many-Objective Optimization and Learning Mechanism,L. Shu; F. He; X. Hu; H. Li,2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD),2021.0,"Feature selection is extremely important in machine learning and data mining. Typical two-objective feature selection methods aim to minimize the number of features and maximize classification performance. However, they overlook the fact that there may be multiple subsets with similar information content for a given cardinality. The paper presents a many-objective feature selection approach to address this problem. Firstly, we establish a five-objective optimization model, which consists of classification accuracy, the number of features, feature relevance, feature redundancy, and feature complementarity. Therefore, the proposed model can enlarge the search space with more Pareto solutions. Secondly, we propose a wrapper structure for many-objective feature selection, which integrates a learning algorithm. Thirdly, in order to reduce the computional overhead, we propose a filter structure, which separates the learning algorithm. For implementation, we adopt NSGA-III multi-objective evolutionary algorithm and extreme learning machine. The experiments on mainstream datasets confirm the superiority of the proposed method.",10.1109/CSCWD49262.2021.9437707,optimization driven design;intelligent cloud manufacturing;collaborative processing of big data;feature selection;classification;many-objective optimization;extreme learning machine,,
Ready-to-Fabricate RF Circuit Synthesis Using a Layout- and Variability-Aware Optimization-Based Methodology,F. Passos; E. Roca; R. Martins; N. Lourenço; S. Ahyoune; J. Sieiro; R. Castro-López; N. Horta; F. V. Fernández,IEEE Access,2020.0,"In this paper, physical implementations and measurement results are presented for several Voltage Controlled Oscillators that were designed using a fully-automated, layout- and variability-aware optimization-based methodology. The methodology uses a highly accurate model, based on machine-learning techniques, to characterize inductors, and a multi-objective optimization algorithm to achieve a Pareto-optimal front containing optimal circuit designs offering different performance trade-offs. The final outcome of the proposed methodology is a set of design solutions (with their GDSII description available and ready-to-fabricate) that need no further designer intervention. Two key elements of the proposed methodology are the use of an optimization algorithm linked to an off-the-shelf simulator and an inductor model that yield EM-like accuracy but with much shorter evaluation times. Furthermore, the methodology guarantees the same high level of robustness against layout parasitics and variability that an expert designer would achieve with the verification tools at his/her disposal. The methodology is technology-independent and can be used for the design of radio frequency circuits. The results are validated with experimental measurements on a physical prototype.",10.1109/ACCESS.2020.2980211,Integrated circuit synthesis;electronic design automation and methodology;inductors;metamodeling;radio frequency;voltage-controlled oscillator,3.0,
ParDen: Surrogate Assisted Hyper-Parameter Optimisation for Portfolio Selection,T. L. van Zyl; M. Woolway; A. Paskaramoorthy,2021 8th International Conference on Soft Computing & Machine Intelligence (ISCMI),2021.0,"Portfolio optimisation is a multi-objective optimisation problem (MOP), where an investor aims to optimise the conflicting criteria of maximising a portfolio’s expected return whilst minimising its risk and other costs. However, selecting a portfolio is a computationally expensive problem because of the cost associated with performing multiple evaluations on test data (""backtesting"") rather than solving the convex optimisation problem itself. In this research, we present ParDen, an algorithm for the inclusion of any discriminative or generative machine learning model as a surrogate to mitigate the computationally expensive backtest procedure. In addition, we compare the performance of alternative metaheuristic algorithms: NSGA-II, R-NSGA-II, NSGA-III, R-NSGA-III, U-NSGA-III, MO-CMA-ES, and COMO-CMA-ES. We measure performance using multi-objective performance indicators, including Generational Distance Plus, Inverted Generational Distance Plus and Hypervol-ume. We also consider meta-indicators, Success Rate and Average Executions to Success Rate, of the Hypervolume to provide more insight into the quality of solutions. Our results show that ParDen can reduce the number of evaluations required by almost a third while obtaining an improved Pareto front over the state-of-the-art for the problem of portfolio selection.",10.1109/ISCMI53840.2021.9654934,metaheuristics;genetic algorithms;surrogate modelling;multi-objective optimisation;portfolio selection;hyper-parameter optimisation,,
Multi-Objective Optimization for Personalized Prediction of Venous Thromboembolism in Ovarian Cancer Patients,M. E. Frésard; R. Erices; M. L. Bravo; M. Cuello; G. I. Owen; C. Ibáñez; M. Rodriguez-Fernandez,IEEE Journal of Biomedical and Health Informatics,2020.0,"Thrombotic events are one of the leading causes of mortality and morbidity related to cancer, with ovarian cancer having one of the highest incidence rates. The need to prevent these events through the prescription of adequate schemes of antithrombotic prophylaxis has motivated the development of models that aid the identification of patients at higher risk of thrombotic events with lethal consequences. However, antithrombotic prophylaxis increases the risk of bleeding and this risk depends on the class and intensity of the chosen antithrombotic prophylactic scheme, the clinical and personal condition of the patient and the disease characteristics. Moreover, the datasets used to obtain current models are imbalanced, i.e., they incorporate more patients who did not suffer thrombotic events than patients who experienced them what can lead to wrong predictions, especially for the clinically relevant patient group at high risk of thrombosis. Herein, predictive models based on machine learning were developed utilizing 121 high-grade serous ovarian carcinoma patients, considering the clinical variables of the patients and those typical of the disease. To properly manage the data imbalance, cost-sensitive classification together with multi-objective optimization was performed considering different combinations of metrics. In this way, five Pareto fronts and a series of optimal models with different false positive and false negative rates were obtained. With this novel approach to the development of clinical predictive models, personalized models can be developed, helping the clinician to achieve a better balance between the risk of bleeding and the risk of thrombosis.",10.1109/JBHI.2019.2943499,Clinical biomarkers;prediction models;ovarian cancer;venous thromboembolism;multi-objective optimization,6.0,
HL-Pow: A Learning-Based Power Modeling Framework for High-Level Synthesis,Z. Lin; J. Zhao; S. Sinha; W. Zhang,2020 25th Asia and South Pacific Design Automation Conference (ASP-DAC),2020.0,"High-level synthesis (HLS) enables designers to customize hardware designs efficiently. However, it is still challenging to foresee the correlation between power consumption and HLS-based applications at an early design stage. To overcome this problem, we introduce HL-Pow, a power modeling framework for FPGA HLS based on state-of-the-art machine learning techniques. HL-Pow incorporates an automated feature construction flow to efficiently identify and extract features that exert a major influence on power consumption, simply based upon HLS results, and a modeling flow that can build an accurate and generic power model applicable to a variety of designs with HLS. By using HL-Pow, the power evaluation process for FPGA designs can be significantly expedited because the power inference of HL-Pow is established on HLS instead of the time-consuming register-transfer level (RTL) implementation flow. Experimental results demonstrate that HL-Pow can achieve accurate power modeling that is only 4.67% (24.02 mW) away from onboard power measurement. To further facilitate power-oriented optimizations, we describe a novel design space exploration (DSE) algorithm built on top of HL-Pow to trade off between latency and power consumption. This algorithm can reach a close approximation of the real Pareto frontier while only requiring running HLS flow for 20% of design points in the entire design space.",10.1109/ASP-DAC47756.2020.9045442,,4.0,
VeriGOOD-ML: An Open-Source Flow for Automated ML Hardware Synthesis,H. Esmaeilzadeh; S. Ghodrati; J. Gu; S. Guo; A. B. Kahng; J. K. Kim; S. Kinzer; R. Mahapatra; S. D. Manasi; E. Mascarenhas; S. S. Sapatnekar; R. Varadarajan; Z. Wang; H. Xu; B. R. Yatham; Z. Zeng,2021 IEEE/ACM International Conference On Computer Aided Design (ICCAD),2021.0,"This paper introduces VeriGOOD-ML, an automated methodology for generating Verilog with no human in the loop, starting from a high-level description of a machine learning (ML) algorithm in a standard format such as ONNX. The Verilog RTL is then translated through a back-end design flow to GDSII, driven by a design planning approach that is well tailored to the macro-intensive nature of ML platforms. VeriGOOD-ML uses three approaches to build ML hardware: the TABLA platform uses a dataflow architecture that is well suited to non-DNN ML algorithms; the GeneSys platform, with a systolic array and a SIMD array, is optimized for implementing DNNs; and the Axiline approach synthesizes small ML algorithms by hardcoding the structure of the algorithm into hardware, thus trading off flexibility for performance and power. The overall approach explores the design space of platform configurations and Pareto-optimal-PPA back-end implementations to yield designs that represent different tradeoffs at the algorithmic level between area, power, performance, and execution time. The overall methodology, from architecture to back-end design to hardware implementation, is described in this paper, and the results of VeriGOOD-ML are demonstrated on a set of ML benchmarks.",10.1109/ICCAD51958.2021.9643449,,,
Shallow Versus Deep Neural Networks in Gear Fault Diagnosis,G. Cirrincione; R. R. Kumar; A. Mohammadi; S. H. Kia; P. Barbiero; J. Ferretti,IEEE Transactions on Energy Conversion,2020.0,"Accurate gear defect detection in induction machine-based systems is a fundamental issue in several industrial applications. At this aim, shallow neural networks, i.e., architectures with only one hidden layer, have been used after a feature extraction step from vibration, torque, acoustic pressure and electrical signals. Their additional complexity is justified by their ability in extracting its own features and in the very high-test classification rates. These signals are here analyzed, both geometrically and topologically, in order to estimate the class manifolds and their reciprocal positioning. At this aim, the different states of the gears are studied by using linear (Pareto charts, biplots, principal angles) and nonlinear (curvilinear component analysis) techniques, while the class clusters are visualized by using the parallel coordinates. It is deduced that the class manifolds are compact and well separated. This result justifies the use of a shallow neural network, instead of a deep one, as already remarked in the literature, but with no theoretical justification. The experimental section confirms this assertion, and also compares the shallow neural network results with the other machine learning techniques used in the literature.",10.1109/TEC.2020.2978155,Classification algorithm;fault detection;fault diagnosis;gears;induction motors;multilayer perceptron;neural networks;principal component analysis;vibrations,6.0,
