Title,Authors,Publisher,Year,DOI,Keywords,Citations,Optimization,ML task,Objective functions,Single/Multi Solutions,Abstract
categorical feature reduction using multi objective genetic algorithm in cluster analysis,"Dutta D., Dutta P., Sil J.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2013.0,10.1007/978-3-642-45318-2_7,Clustering; dimensionality reduction; homogeneity and separation; Pareto optimal front; real coded multi objective genetic algorithm,3.0,"['Evolutionary', 'Genetic']",['Clustering'],"['homogeneity', 'separation']",Multi,"In the paper, real coded multi objective genetic algorithm based K-clustering method has been studied, K represents the number of clusters. In K-clustering algorithm value of K is known. The searching power of Genetic Algorithm (GA) is exploited to search for suitable clusters and centers of clusters so that intra-cluster distance (Homogeneity, H) and inter-cluster distances (Separation, S) are simultaneously optimized. It is achieved by measuring H and S using Mod distance per feature metric, suitable for categorical features (attributes). We have selected 3 benchmark data sets from UCI Machine Learning Repository containing categorical features only. The paper proposes two versions of MOGA based K-clustering algorithm. In proposed MOGA (H, S), all features are taking part in building chromosomes and calculation of H and S values. In MOGA-Feature-Selection (H, S), selected features take part to build chromosomes, relevant for clusters. Here, K-modes is hybridized with GA. We have used hybridized GA to combine global searching capabilities of GA with local searching capabilities of K-modes. Considering context sensitivity, we have used a special crossover operator called ""pairwise crossover"" and ""substitution"". The main contribution of this paper is simultaneous dimensionality reduction and optimization of objectives using MOGA. © 2013 Springer-Verlag Berlin Heidelberg."
evolving diverse ensembles using genetic programming for classification with unbalanced data,U. Bhowan; M. Johnston; M. Zhang; X. Yao,IEEE Transactions on Evolutionary Computation,2013.0,10.1109/TEVC.2012.2199119,Classification;class imbalance learning;genetic programming (GP);multiobjective machine learning (ML),140.0,"['Evolutionary', 'NSGA-II', 'SPEA2']","['Classification', 'Ensemble', 'Unbalanced Data']","['Minority Accuracy', 'Majority Accuracy']",Single - Ensemble,"In classification, machine learning algorithms can suffer a performance bias when data sets are unbalanced. Data sets are unbalanced when at least one class is represented by only a small number of training examples (called the minority class), while the other class(es) make up the majority. In this scenario, classifiers can have good accuracy on the majority class, but very poor accuracy on the minority class(es). This paper proposes a multiobjective genetic programming (MOGP) approach to evolving accurate and diverse ensembles of genetic program classifiers with good performance on both the minority and majority of classes. The evolved ensembles comprise of nondominated solutions in the population where individual members vote on class membership. This paper evaluates the effectiveness of two popular Pareto-based fitness strategies in the MOGP algorithm (SPEA2 and NSGAII), and investigates techniques to encourage diversity between solutions in the evolved ensembles. Experimental results on six (binary) class imbalance problems show that the evolved ensembles outperform their individual members, as well as single-predictor methods such as canonical GP, naive Bayes, and support vector machines, on highly unbalanced tasks. This highlights the importance of developing an effective fitness evaluation strategy in the underlying MOGP algorithm to evolve good ensemble members."
a hybrid meta-learning architecture for multi-objective optimization of svm parameters,"Miranda P.B.C., Prudêncio R.B.C., de Carvalho A.P.L.F., Soares C.",Neurocomputing,2014.0,10.1016/j.neucom.2014.06.026,Meta-learning; Multi-objective optimization; Parameter selection; Particles swarm optimization; Support vector machines,29.0,"['Evolutionary', 'Particle Swarm Optimization']","['SVM', 'Classification', 'Meta-Learning']","['success rate in classification', 'number of support vectors']",Multi,"Support Vector Machines (SVMs) have achieved a considerable attention due to their theoretical foundations and good empirical performance when compared to other learning algorithms in different applications. However, the SVM performance strongly depends on the adequate calibration of its parameters. In this work we proposed a hybrid multi-objective architecture which combines meta-learning (ML) with multi-objective particle swarm optimization algorithms for the SVM parameter selection problem. Given an input problem, the proposed architecture uses a ML technique to suggest an initial Pareto front of SVM configurations based on previous similar learning problems; the suggested Pareto front is then refined by a multi-objective optimization algorithm. In this combination, solutions provided by ML are possibly located in good regions in the search space. Hence, using a reduced number of successful candidates, the search process would converge faster and be less expensive. In the performed experiments, the proposed solution was compared to traditional multi-objective algorithms with random initialization, obtaining Pareto fronts with higher quality on a set of 100 classification problems. © 2014 Elsevier B.V."
reusing genetic programming for ensemble selection in classification of unbalanced data,U. Bhowan; M. Johnston; M. Zhang; X. Yao,IEEE Transactions on Evolutionary Computation,2014.0,10.1109/TEVC.2013.2293393,Classification;ensemble machine learning;genetic programming;unbalanced data,57.0,"['Evolutionary', 'Genetic']","['Classification', 'Ensemble']","['minority acc', 'majority acc']",Single - Ensemble,"Classification algorithms can suffer from performance degradation when the class distribution is unbalanced. This paper develops a two-step approach to evolving ensembles using genetic programming (GP) for unbalanced data. The first step uses multiobjective (MO) GP to evolve a Pareto-approximated front of GP classifiers to form the ensemble by trading-off the minority and the majority class against each other during learning. The MO component alleviates the reliance on sampling to artificially rebalance the data. The second step, which is the focus this paper, proposes a novel ensemble selection approach using GP to automatically find/choose the best individuals for the ensemble. This new GP approach combines multiple Pareto-approximated front members into a single composite genetic program solution to represent the (optimized) ensemble. This ensemble representation has two main advantages/novelties over traditional genetic algorithm (GA) approaches. First, by limiting the depth of the composite solution trees, we use selection pressure during evolution to find small highly-cooperative groups of individuals for the ensemble. This means that ensemble sizes are not fixed a priori (as in GA), but vary depending on the strength of the base learners. Second, we compare different function set operators in the composite solution trees to explore new ways to aggregate the member outputs and thus, control how the ensemble computes its output. We show that the proposed GP approach evolves smaller more diverse ensembles compared to an established ensemble selection algorithm, while still performing as well as, or better than the established approach. The evolved GP ensembles also perform well compared to other bagging and boosting approaches, particularly on tasks with high levels of class imbalance."
multicriteria approaches for predictive model generation: a comparative experimental study,B. Al-Jubouri; B. Gabrys,2014 IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making (MCDM),2014.0,10.1109/MCDM.2014.7007189,,3.0,"['Evolutionary','NSGA-II']","['Neural Networks','Classification']","['Accuracy','Model Complexity','Algorithmic Complexity']",Multi,"This study investigates the evaluation of machine learning models based on multiple criteria. The criteria included are: predictive model accuracy, model complexity, and algorithmic complexity (related to the learning/adaptation algorithm and prediction delivery) captured by monitoring the execution time. Furthermore, it compares the models generated from optimising the criteria using two approaches. The first approach is a scalarized multi objective optimisation, where the models are generated from optimising a single cost function that combines the criteria. On the other hand the second approach uses a Pareto-based multi objective optimisation to trade-off the three criteria and to generate a set of non-dominated models. This study shows that defining universal measures for the three criteria is not always feasible. Furthermore, it was shown that, the models generated from Pareto-based multi objective optimisation approach can be more accurate and more diverse than the models generated from scalarized multi objective optimisation approach."
multiobjective optimization for model selection in kernel methods in regression,D. You; C. F. Benitez-Quiroz; A. M. Martinez,IEEE Transactions on Neural Networks and Learning Systems,2014.0,10.1109/TNNLS.2013.2297686,Kernel methods;kernel optimization;optimization;Pareto optimality;regression.;Kernel methods;kernel optimization;optimization;Pareto optimality;regression,12.0,"['Deterministic', 'ε-Constraint Optimization']","['Kernel methods', 'Regression']","['RMSE', 'Roughness Penalty']",Multi,"Regression plays a major role in many scientific and engineering problems. The goal of regression is to learn the unknown underlying function from a set of sample vectors with known outcomes. In recent years, kernel methods in regression have facilitated the estimation of nonlinear functions. However, two major (interconnected) problems remain open. The first problem is given by the bias-versus-variance tradeoff. If the model used to estimate the underlying function is too flexible (i.e., high model complexity), the variance will be very large. If the model is fixed (i.e., low complexity), the bias will be large. The second problem is to define an approach for selecting the appropriate parameters of the kernel function. To address these two problems, this paper derives a new smoothing kernel criterion, which measures the roughness of the estimated function as a measure of model complexity. Then, we use multiobjective optimization to derive a criterion for selecting the parameters of that kernel. The goal of this criterion is to find a tradeoff between the bias and the variance of the learned function. That is, the goal is to increase the model fit while keeping the model complexity in check. We provide extensive experimental evaluations using a variety of problems in machine learning, pattern recognition, and computer vision. The results demonstrate that the proposed approach yields smaller estimation errors as compared with methods in the state of the art."
feature selection and semi-supervised clustering using multiobjective optimization,"Saha, S; Ekbal, A; Alok, AK; Spandana, R",SPRINGERPLUS,2014.0,10.1186/2193-1801-3-465,Clustering; Multiobjective optimization (MOO); Symmetry; Cluster validity indices; Semi-supervised clustering; Feature selection; Multi-center; Automatic determination of number of clusters,,"['Evolutionary', 'AMOSA']","['Feature selection', 'semi-supervised clustering']","['sym-index', 'xb-index', 'adjusted rand index', 'number of features']",Single - Minkowski Score,"In this paper we have coupled feature selection problem with semi-supervised clustering. Semi-supervised clustering utilizes the information of unsupervised and supervised learning in order to overcome the problems related to them. But in general all the features present in the data set may not be important for clustering purpose. Thus appropriate selection of features from the set of all features is very much relevant from clustering point of view. In this paper we have solved the problem of automatic feature selection and semi-supervised clustering using multiobjective optimization. A recently created simulated annealing based multiobjective optimization technique titled archived multiobjective simulated annealing (AMOSA) is used as the underlying optimization technique. Here features and cluster centers are encoded in the form of a string. We assume that for each data set for 10% data points class level information are known to us. Two internal cluster validity indices reflecting different data properties, an external cluster validity index measuring the similarity between the obtained partitioning and the true labelling for 10% data points and a measure counting the number of features present in a particular string are optimized using the search capability of AMOSA. AMOSA is utilized to detect the appropriate subset of features, appropriate number of clusters as well as the appropriate partitioning from any given data set. The effectiveness of the proposed semi-supervised feature selection technique as compared to the existing techniques is shown for seven real-life data sets of varying complexities."
multi-objective learning of hybrid classifiers,"Piltaver, R; Lustrek, M; Zupancic, J; Dzeroski, S; Gams, M",21ST EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE (ECAI 2014),2014.0,10.3233/978-1-61499-419-0-717,,,"['Deterministic', 'search']","['Classification', 'hybrid classifiers', 'hybrid trees']","['accuracy', 'comprehensibility']",Multi,"We propose a multi-objective machine learning approach guaranteed to find the Pareto optimal set of hybrid classification models consisting of comprehensible and incomprehensible submodels. The algorithm run-times are below 1 s for typical applications despite the exponential worst-case time complexity. The user chooses the model with the best comprehensibility-accuracy trade-off from the Pareto front which enables a well informed decision or repeats finding new Pareto fronts with modified seeds. For a classification trees as the comprehensible seed, the hybrids include single black-box model, invoked in hybrid leaves. The comprehensibility of such hybrid classifiers is measured with the proportion of examples classified by the regular leaves. We propose one simple and one computationally efficient algorithm for finding the Pareto optimal hybrid trees, starting from an initial classification tree and a black-box classifier. We evaluate the proposed algorithms empirically, comparing them to the baseline solution set, showing that they often provide valuable improvements. Furthermore, we show that the efficient algorithm outperforms the NSGA-II algorithm in terms of quality of the result set and efficiency (for this optimisation problem). Finally we show that the algorithm returns hybrid classifiers that reflect the expert's knowledge on activity recognition problem well."
multi-objective model type selection,"Rosales-P\'{e}rez, Alejandro and Gonzalez, Jesus A. and Coello Coello, Carlos A. and Escalante, Hugo Jair and Reyes-Garcia, Carlos A.",Elsevier Science Publishers B. V.,2014.0,10.1016/j.neucom.2014.05.077,"VC dimension, Multi-objective optimization, Model type selection, Ensemble methods",,"['Evolutionary', 'MOEA/D']","['Classification', 'model selection']","['error', 'vc dimension']",Multi,"Classification is a mainstream within the machine learning community. As a result, a large number of learning algorithms have been proposed. The performance of many of these could highly depend on the chosen values of their hyper-parameters. This paper introduces a novel method for addressing the model selection problem for a given classification task. In our model selection formulation, both the learning algorithm and its hyper-parameters are considered. In our proposed approach, model selection is tackled as a multi-objective optimization problem. The empirical error, or training error, and the model complexity are defined as the objectives. We adopt a multi-objective evolutionary algorithm as the search engine, due to its high performance and its advantages for solving multi-objective problems. The model complexity is estimated experimentally, in a general fashion, for any learning algorithm, through the VC dimension. Strategies for choosing a single model or for constructing an ensemble of models from the resulting non-dominated set are also proposed. Experimental results on benchmark data sets indicate the effectiveness of the proposed approach. Furthermore, a comparative study shows that the obtained models are highly competitive, in terms of generalization performance, with other methods in the state of the art that focus on a single-learning algorithm, or a single-objective approach."
enhancing the effectiveness of ant colony decision tree algorithms by co-learning,"Boryczka, U; Kozak, J",APPLIED SOFT COMPUTING,2015.0,10.1016/j.asoc.2014.12.036,Ant Colony Optimization; Ant Colony Decision Trees; Decision trees; Pareto front; Quality of decision trees; Ant-Miner,,"['Evolutionary', 'Ant Colony Optimization']","['Classification', 'Decision trees']","['Size of decision tree', 'Accuracy']",Multi,"Data mining and visualization techniques for high-dimensional data provide helpful information to substantially augment decision-making. Optimization techniques provide a way to efficiently search for these solutions. ACO applied to data mining tasks - a decision tree construction - is one of these methods and the focus of this paper. The Ant Colony Decision Tree (ACDT) approach generates solutions efficiently and effectively but scales poorly to large problems. This article merges the methods that have been developed for better construction of decision trees by ants. The ACDT approach is tested in the context of the bi-criteria evaluation function by focusing on two problems: the size of the decision trees and the accuracy of classification obtained during ACDT performance. This approach is tested in co-learning mechanism, it means agents-ants can interact during the construction decision trees via pheromone values. This cooperation is a chance of getting better results. The proposed methodology of analysis of ACDT is tested in a number of well-known benchmark data sets from the UCI Machine Learning Repository. The empirical results clearly show that the ACDT algorithm creates good solutions which are located in the Pareto front. The software that implements the ACDT algorithm used to generate the results of this study can be downloaded freely from http://www.acdtalgorithm.com. (C) 2015 Elsevier B.V. All rights reserved."
pareto-path multitask multiple kernel learning,C. Li; M. Georgiopoulos; G. C. Anagnostopoulos,IEEE Transactions on Neural Networks and Learning Systems,2015.0,10.1109/TNNLS.2014.2309939,Machine learning;optimization methods;pattern recognition;supervised learning;support vector machines (SVM).;Machine learning;optimization methods;pattern recognition;supervised learning;support vector machines (SVM),14.0,"['Deterministic', 'Tseng’s algorithm']","['Classification', 'Multitask', 'Multiple Kernel Learning', 'SVM']",['SVM objective'],Multi,"A traditional and intuitively appealing Multitask Multiple Kernel Learning (MT-MKL) method is to optimize the sum (thus, the average) of objective functions with (partially) shared kernel function, which allows information sharing among the tasks. We point out that the obtained solution corresponds to a single point on the Pareto Front (PF) of a multiobjective optimization problem, which considers the concurrent optimization of all task objectives involved in the Multitask Learning (MTL) problem. Motivated by this last observation and arguing that the former approach is heuristic, we propose a novel support vector machine MT-MKL framework that considers an implicitly defined set of conic combinations of task objectives. We show that solving our framework produces solutions along a path on the aforementioned PF and that it subsumes the optimization of the average of objective functions as a special case. Using the algorithms we derived, we demonstrate through a series of experimental results that the framework is capable of achieving a better classification performance, when compared with other similar MTL approaches."
a new ensemble learning methodology based on hybridization of classifier ensemble selection approaches,"Mousavi, R; Eftekhari, M",APPLIED SOFT COMPUTING,2015.0,10.1016/j.asoc.2015.09.009,Ensemble learning system; Static ensemble selection; Dynamic ensemble selection; Classifier combination; Classifier diversity; Multi-objective optimization,,"['Evolutive', 'NSGA-II']","['Classification', 'Ensemble', 'NN', 'DT', 'SVM', 'KNN']","['Accuracy', 'Correlation', 'Disagreement', 'Double Fault', 'Q-statistic']",Single - Ensemble,"Ensemble learning is a system that improves the performance and robustness of the classification problems. How to combine the outputs of base classifiers is one of the fundamental challenges in ensemble learning systems. In this paper, an optimized Static Ensemble Selection (SES) approach is first proposed on the basis of NSGA-II multi-objective genetic algorithm (called SES-NSGAII), which selects the best classifiers along with their combiner, by simultaneous optimization of error and diversity objectives. In the second phase, the Dynamic Ensemble Selection-Performance (DES-P) is improved by utilizing the first proposed method. The second proposed method is a hybrid methodology that exploits the abilities of both SES and DES approaches and is named Improved DES-P (IDES-P). Accordingly, combining static and dynamic ensemble strategies as well as utilizing NSGA-II are the main contributions of this research. Findings of the present study confirm that the proposed methods outperform the other ensemble approaches over 14 datasets in terms of classification accuracy. Furthermore, the experimental results are described from the view point of Pareto front with the aim of illustrating the relationship between diversity and the over-fitting problem. (C) 2015 Elsevier B.V. All rights reserved."
parallel alternatives for evolutionary multi-objective optimization in unsupervised feature selection,"Kimovski, Dragi and Ortega, Julio and Ortiz, Andr\'{e}s and Ba\~{n}os, Ra\'{u}l","Pergamon Press, Inc.",2015.0,10.1016/j.eswa.2015.01.061,"Parallel evolutionary algorithms, Unsupervised classification, Multi-objective clustering, Feature selection, High-dimensional data, Speedup models",,"['Evolutive', 'NSGA-II']","['Feature Selection', 'Classification']",[],Single - Combination,"Multiobjective unsupervised feature selection with many decision variables is tackled.EEG signals for Brain-Computer Interface (BCI) applications are used as benchmarks.Cooperative evolutionary algorithms for multiobjective optimization are given.Parallel implementations obtain quality results in terms of hypervolume and speedup.Superlinear speedups are justified by adjusting models to experimental results. Many machine learning and pattern recognition applications require reducing dimensionality to improve learning accuracy while irrelevant inputs are removed. This way, feature selection has become an important issue on these researching areas. Nevertheless, as in past years the number of patterns and, more specifically, the number of features to be selected have grown very fast, parallel processing constitutes an important tool to reach efficient approaches that make possible to tackle complex problems within reasonable computing times. In this paper we propose parallel multi-objective optimization approaches to cope with high-dimensional feature selection problems. Several parallel multi-objective evolutionary alternatives are proposed, and experimentally evaluated by using some synthetic and BCI (Brain-Computer Interface) benchmarks. The experimental results show that the cooperation of parallel evolving subpopulations provides improvements in the solution quality and computing time speedups depending on the parallel alternative and data profile."
convex hull-based multiobjective genetic programming for maximizing receiver operating characteristic performance,P. Wang; M. Emmerich; R. Li; K. Tang; T. Bäck; X. Yao,IEEE Transactions on Evolutionary Computation,2015.0,10.1109/TEVC.2014.2305671,Classification;evolutionary multiobjective algorithm;genetic programming;memetic algorithm;receiver operating characteristic (ROC) convex hull,26.0,['Evolutive'],"['Classification', 'ROCCH']","['False Positive Rate', 'True Positive Rate']",Multi,"The receiver operating characteristic (ROC) is commonly used to analyze the performance of classifiers in data mining. An important topic in ROC analysis is the ROC convex hull (ROCCH), which is the least convex majorant (LCM) of the empirical ROC curve and covers potential optima for a given set of classifiers. ROCCH maximization problems have been taken as multiobjective optimization problem (MOPs) in some previous work. However, the special characteristics of ROCCH maximization problem makes it different from traditional MOPs. In this paper, the difference will be discussed in detail and a new convex hull-based multiobjective genetic programming (CH-MOGP) is proposed to solve ROCCH maximization problems. Specifically, convex hull-based without redundancy sorting (CWR-sorting) is introduced, which is an indicator-based selection scheme that aims to maximize the area under the convex hull. A novel selection procedure is also proposed based on the proposed sorting scheme. It is hypothesized that by using a tailored indicator-based selection, CH-MOGP becomes more efficient for ROC convex hull approximation than algorithms that compute all Pareto optimal points. Empirical studies are conducted to compare CH-MOGP to both existing machine learning approaches and multiobjective genetic programming (MOGP) methods with classical selection schemes. Experimental results show that CH-MOGP outperforms the other approaches significantly."
an effective multiobjective approach for hard partitional clustering,"Prakash, J; Singh, PK",MEMETIC COMPUTING,2015.0,10.1007/s12293-014-0147-5,Data clustering; Multiobjective optimization; Evolutionary and swarm intelligence; Mutiobjective particle swarm optimization,,"['Evolutive', 'Particle Swarm Optimization']",['Clustering'],"['SSE', 'Connectedness']",Single - Highest F-measure,"Clustering is an unsupervised classification method in the field of data mining. Many population based evolutionary and swarm intelligence optimization methods are proposed to optimize clustering solutions globally based on a single selected objective function which lead to produce a single best solution. In this sense, optimized solution is biased towards a single objective, hence it is not equally well to the data set having clusters of different geometrical properties. Thus, clustering having multiple objectives should be naturally optimized through multiobjective optimization methods for capturing different properties of the data set. To achieve this clustering goal, many multiobjective population based optimization methods, e.g., multiobjective genetic algorithm, mutiobjective particle swarm optimization (MOPSO), are proposed to obtain diverse tradeoff solutions in the pareto-front. As single directional diversity mechanism in particle swarm optimization converges prematurely to local optima, this paper presents a two-stage diversity mechanism in MOPSO to improve its exploratory capabilities by incorporating crossover operator of the genetic algorithm. External archive is used to store non-dominated solutions, which is further utilized to find one best solution having highest F-measure value at the end of the run. Two conceptually orthogonal internal measures SSE and connectedness are used to estimate the clustering quality. Results demonstrate effectiveness of the proposed method over its competitors MOPSO, non-dominated sorting genetic algorithm, and multiobjective artificial bee colony on seven real data sets from UCI machine learning repository."
sprint multi-objective model racing,"Zhang, TT; Georgiopoulos, M; Anagnostopoulos, GC",GECCO'15: PROCEEDINGS OF THE 2015 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,2015.0,10.1145/2739480.2754791,Racing Algorithm; Model Selection; Multi-objective Optimization; Sequential Probability Ratio Test,,['Deterministic'],"['Racing', 'Model Selection']",['User defined'],Multi,"Multi-objective model selection, which is an important aspect of Machine Learning, refers to the problem of identifying a set of Pareto optimal models from a given ensemble of models. This paper proposes SPRINT-Race, a multi-objective racing algorithm based on the Sequential Probability Ratio Test with an Indifference Zone. In SPRINT-Race, a non-parametric ternary-decision sequential analogue of the sign test is adopted to identify pair-wise dominance and non-dominance relationship. In addition, a Bonferroni approach is employed to control the overall probability of any erroneous decisions. In the fixed confidence setting, SPRINT-Race tries to minimize the computational effort needed to achieve a predefined confidence about the quality of the returned models. The efficiency of SPRTNT-Race is analyzed on artificially-constructed multi-objective model selection problems with known ground-truth. Moreover, SPRINT-Race is applied to identifying the Pareto optimal parameter settings of Ant Colony Optimization algorithms in the context of solving Traveling Salesman Problems. The experimental results confirm the advantages of SPRINT-Race for multi-objective model selection."
surrogate-assisted multi-objective model selection for support vector machines,"Rosales-P\'{e}rez, Alejandro and Gonzalez, Jesus A. and Coello Coello, Carlos A. and Escalante, Hugo Jair and Reyes-Garcia, Carlos A.",Elsevier Science Publishers B. V.,2015.0,10.1016/j.neucom.2014.08.075,"Support vector machines, Surrogate-assisted optimization, Model selection, Multi-objective optimization",,"['Evolutionary','SAMOEA']","['Classification','Pre-Processing','Feature Selection','Model Selection','SVM']","['Bias','Variance']",Single - Performance in validation,"Classification is one of the most well-known tasks in supervised learning. A vast number of algorithms for pattern classification have been proposed so far. Among these, support vector machines (SVMs) are one of the most popular approaches, due to the high performance reached by these methods in a wide number of pattern recognition applications. Nevertheless, the effectiveness of SVMs highly depends on their hyper-parameters. Besides the fine-tuning of their hyper-parameters, the way in which the features are scaled as well as the presence of non-relevant features could affect their generalization performance. This paper introduces an approach for addressing model selection for support vector machines used in classification tasks. In our formulation, a model can be composed of feature selection and pre-processing methods besides the SVM classifier. We formulate the model selection problem as a multi-objective one, aiming to minimize simultaneously two components that are closely related to the error of a model: bias and variance components, which are estimated in an experimental fashion. A surrogate-assisted evolutionary multi-objective optimization approach is adopted to explore the hyper-parameters space. We adopted this approach due to the fact that estimating the bias and variance could be computationally expensive. Therefore, by using surrogate-assisted optimization, we expect to reduce the number of solutions evaluated by the fitness functions so that the computational cost would also be reduced. Experimental results conducted on benchmark datasets widely used in the literature, indicate that highly competitive models with a fewer number of fitness function evaluations are obtained by our proposal when it is compared to state of the art model selection methods."
a flexible cluster-oriented alternative clustering algorithm for choosing from the pareto front of solutions,"Truong D.T., Battiti R.",Machine Learning,2015.0,10.1007/s10994-013-5350-y,Alternative clustering; Cluster-oriented recombination; Genetic algorithms; Multi-objective optimization,4.0,"['Evolutionary', 'Genetic', 'NSGA-II']","['Clustering', 'Supervised Alternative clustering']","['Vector Quantization Error', 'Adjusted Rand Index']",Multi,"Supervised alternative clustering is the problem of finding a set of clusterings which are of high quality and different from a given negative clustering. The task is therefore a clear multi-objective optimization problem. Optimizing two conflicting objectives at the same time requires dealing with trade-offs. Most approaches in the literature optimize these objectives sequentially (one objective after another one) or indirectly (by some heuristic combination of the objectives). Solving a multi-objective optimization problem in these ways can result in solutions which are dominated, and not Pareto-optimal. We develop a direct algorithm, called COGNAC, which fully acknowledges the multiple objectives, optimizes them directly and simultaneously, and produces solutions approximating the Pareto front. COGNAC performs the recombination operator at the cluster level instead of at the object level, as in the traditional genetic algorithms. It can accept arbitrary clustering quality and dissimilarity objectives and provides solutions dominating those obtained by other state-of-the-art algorithms. Based on COGNAC, we propose another algorithm called SGAC for the sequential generation of alternative clusterings where each newly found alternative clustering is guaranteed to be different from all previous ones. The experimental results on widely used benchmarks demonstrate the advantages of our approach. © 2013, The Author(s)."
hybrid multi-objective optimization approach for neural network classification using local search,"Mane S., Sonawani S., Sakhare S.",Advances in Intelligent Systems and Computing,2016.0,10.1007/978-981-10-0419-3_21,Classificationm; Local search; Multi-objective optimization; Neural network; NSGA II; Pareto optimality,2.0,"['Evolutionary', 'NSGA-II']","['Classification', 'Neural Network']","['MSE', 'Accuracy']",Single,"Classification is inherently multi-objective problem. It is one of the most important tasks of data mining to extract important patterns from large volume of data. Traditionally, either only one objective is considered or the multiple objectives are accumulated to one objective function. In the last decade, Pareto-based multi-objective optimization approach have gained increasing popularity due to the use of multi-objective optimization using evolutionary algorithms and population-based search methods. Multi-objective optimization approaches are more powerful than traditional single-objective methods as it addresses various topics of data mining such as classification, clustering, feature selection, ensemble learning, etc. This paper proposes improved approach of non-dominated sorting algorithm II (NSGA II) for classification using neural network model by augmenting with local search. It tries to enhance two conflicting objectives of classifier: Accuracy and mean squared error. NSGA II is improved by augmenting backpropagation as a local search method to deal with the disadvantage of genetic algorithm, i.e. slow convergence to best solutions. By using backpropagation we are able to speed up the convergence. This approach is applied in various classification problems obtained from UCI repository. The neural network modes obtained shows high accuracy and low mean squared error. © Springer Science+Business Media Singapore 2016."
multi-objective cost-sensitive attribute reduction on data with error ranges,"Fang, Y; Liu, ZH; Min, F",INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,2016.0,10.1007/s13042-014-0296-3,Cost-sensitive learning; Attribute reduction; Test cost; Error range,,"['Heuristic', 'Backtrack reduction', 'k-weighted heuristic reduction']","['Attribute reduction', 'Classification']","['Coverage', 'Accuracy', 'Similarity']",Single,"In current supervised machine learning research spectrum, there are several attribute reduction methodologies to acquire reducts with low test cost. They can deal with symbolic data, or numeric data with error ranges. In many cases, they consider the situation with only one type of cost; therefore the problem is single-objective. This paper addresses the attribute reduction problem on data with multi-type-costs and error ranges. First, we define the multi-objective attribute reduction problem where multi-type-costs are involved. Second, we propose three metrics to evaluate the quality of a reduct set. Third, we design a backtrack algorithm to compute the Pareto optimal set, and a heuristic algorithm to find a sub-optimal reduct set. Finally, we compare these algorithms on seven UCI (University of California-Irvine) datasets. Experimental results indicate that our heuristic algorithm has good capability of tackling the proposed problem."
multi-objective parameter configuration of machine learning algorithms using model-based optimization,D. Horn; B. Bischl,2016 IEEE Symposium Series on Computational Intelligence (SSCI),2016.0,10.1109/SSCI.2016.7850221,,11.0,['Evolutionary'],"['Parameter Configuration', 'Classification']","['False Negative Rate', 'False Positive Rate']",Multi,"The performance of many machine learning algorithms heavily depends on the setting of their respective hyperparameters. Many different tuning approaches exist, from simple grid or random search approaches to evolutionary algorithms and Bayesian optimization. Often, these algorithms are used to optimize a single performance criterion. But in practical applications, a single criterion may not be sufficient to adequately characterize the behavior of the machine learning method under consideration and the Pareto front of multiple criteria has to be considered. We propose to use model-based multi-objective optimization to efficiently approximate such Pareto fronts."
multiobjective fuzzy genetics-based machine learning with a reject option,Y. Nojima; H. Ishibuchi,2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),2016.0,10.1109/FUZZ-IEEE.2016.7737854,Fuzzy genetics-based machine learning;reject option;evolutionary multiobjective optimization,1.0,"['Evolutionary', 'NSGA-II']","['Classification', 'Reject option', 'Fuzzy rule-based classifier']","['Number of rules', 'Error rate except for rejected patterns', 'Number of rejected patterns']",Multi,"Classifier design for a classification problem with M classes can be viewed as finding an optimal partition of its pattern space into M disjoint subspaces. However, this is not always a good strategy especially when training patterns from different classes are heavily overlapping in the pattern space. A simple but practically useful idea is the use of a reject option. In this case, the pattern space is partitioned into (M+1) disjoint subspace where the classification of new patterns is rejected in the (M+1)th subspace. In this paper, we discuss the design of fuzzy rule-based classifiers with a reject option. The rejection subspace is specified by a threshold value for the difference of a kind of matching degrees between the best matching class and the second best matching class. The important research question is how to specify the threshold value. We examine the following two approaches: One is manual specification after designing a fuzzy rule-based classifier, and the other is simultaneous multiobjective optimization of a threshold value and a fuzzy rule-based classifier. In the latter approach, we use three objectives: maximization of the correct classification, and minimization of the rejection and the complexity of the classifier."
